순번,키워드,표제어,설명,출처
89,가,국방표준종합정보시스템,"국방표준종합정보시스템은 노후화된 기존 목록/규격체계를 대체하는 신규 시스템으로 군수품 획득, 운영유지 전(全) 단계의 표준화 업무를 지원하는 규격 및 목록 관리, 부품/단종 관리, BOM(Bill of Material)체계 관리 시스템이며 기존 국방전자조달시스템의 규격/목록 체계에서 수행되어온 업무를 대체하여 별도의 특화 시스템으로 운영된다. - 서비스 개통 : '13.4.1 - 도메인 주소 : http://kdsis.dapa.go.kr (국방전자조달시스템 - 국방표준종합 메뉴) - 담당부서 : 분석시험평가국 표준기획과",정보화기획담당관
90,가,국외조달,"국내조달과 대비되는 개념으로 장비, 물자 및 용역을 외국에서 조달하는 것으로 구매방법에 따라 대정부구매(FMS)와 상업구매로 구분된다.",국제계약 실무과정
91,가,국외조달 전자입찰,"국방전자조달시스템을 이용하여 행하여지는 입찰 중, 국외에서 생산 또는 공급되는 품목에 대한 입찰을 말한다. 시스템 메뉴 중 '국외조달'에서 이루어지는 입찰이 이에 해당되며 국외조달 메뉴는 방위사업청에서만 사용(각 군부대는 사용 안함)한다.",국방전자조달시스템 전자입찰 특별유의서 제2조
92,가,국외조달원,"조달원 중 국외에 위치하여 군수품을 조달하는 업체, 또는 국내업체 중에 국외업체와 협조하는 업체로 크게 국내소재상사[공급업체, 국외업체의 국내지사, 군수품무역업체(군수품무역중개업체 포함)], 국외소재상사(제조업체, 공급업체)로 구분된다.",조달원 관리지침 제4조
93,가,국유재산,"국가의 부담, 기부채납이나 법령 또는 조약에 따라 국가 소유로 된 재산을 말한다. 국유재산의 범위에는 부동산과 그 종물(從物), 선박, 부표(浮標), 부잔교(浮棧橋), 부선거(浮船渠) 및 항공기와 그들의 종물, 정부기업이나 정부시설에서 사용하는 기계와 기구, 지상권, 지역권, 전세권, 광업권, 증권, 지식재산 등이 포함된다. 국방부 국유재산 입찰/계약 업무는 관련 법령에 따라 국방전자조달시스템이 아닌 한국자산관리공사에서 관리하는 온비드 시스템(OnBid, 전자자산처분시스템)에서 이루어지고 있다.",국유재산법 제2조
94,가,국제입찰,"내·외국인 또는 외국인을 대상으로 하여 물품·공사 및 용역을 조달하기 위한 입찰을 말하며, 이에는 수의계약을 포함한다.",계약업무처리훈령
95,가,국채,국고채무부담행위. 다음 회계 연도에 지출할 것을 전제로 국회의 승인을 얻어 지출원인행위(계약)를 할 수 있으나 지출년도에 다시 국회의 승인을 얻어야 하는 예산을 말한다.,계약업무 CHECKPOINT
96,가,군급분류,"FSC(Federal Supply Classification). 군수품을 기능적으로 분류하여 부여한 번호로 군수품의 기능적 분류 및 검색기준이 되며, 재고번호 13자리 중 첫 4자리이며 앞의 2자리를 군(群: Group), 뒤의 두자리는 급(級: Class)이라 하며, 군은 78개, 급의 수는 838종이 있다.",국방표준바코드 운용지침서 별지
97,가,군수품,"국방부 및 그 직할부대ㆍ직할기관과 육ㆍ해ㆍ공군이 사용ㆍ관리하기 위하여 획득하는 물품으로서 무기체계 및 비무기체계, 전비품과 통상품으로 구분된다.","방위사업법 제3조, 군수품관리법 제2조"
98,가,규격서,"Specification. 제품 및 용역에 대한 기술적인 요구사항과 요구필요조건의 일치성 여부를 판단하기 위한 절차와 방법을 서술한 문서로서 제품의 성능, 재료, 형상, 치수, 용적, 색채, 제조, 포장 및 검사방법 등이 포함된다.",방위사업관리규정 별표
99,가,금차공사,"계약업무처리훈령(국방부)에 따른 수의계약 평가 대상공사를 말하며, 예산확보 및 복합공사 여부를 불문하고 전체 공사금액을 기준으로 한다.",계약업무처리훈령
100,가,기본설계 기술제안입찰,발주기관이 작성하여 교부한 기본설계서와 입찰안내서에 따라 입찰자가 기술제안서를 작성하여 입찰서와 함께 제출하는 입찰을 말한다.,국계법 시행령 제98조
101,가,기본설계입찰,일괄입찰의 기본계획 및 지침에 따라 실시설계에 앞서 기본설계와 그에 따른 도서를 작성하여 입찰서와 함께 제출하는 입찰을 말한다.,국계법 시행령 제79조
102,가,기본업무,용역계약에서 계약상대자가 수행하여야 하는 업무로서 과업내용서에 기재된 용역을 말한다.,계약예규 11. 제2조
103,가,기성,공사·제조·구매·용역 등의 계약에 있어서 기간에 따른 공정별로 사업계획서 상의 계약이행진도가 달성된 부분을 말한다.,기성제도 운영지침 제3조
104,가,기성률,사업계획에 반영된 연차별로 구분하여 작성된 공정표상 검사를 통해 사업계획서 상의 계약이행진도의 달성이 확인된 부분의 총 공정에 대한 비율을 말한다.,기성제도 운영지침 제3조
105,가,기성제도,장기계속계약 사업의 합법적 집행과 예산의 효율적 관리를 위해 국계법에 따라 기성부분에 대한 대가를 지급하기 위한 제도를 말한다. (방위사업청 중앙조달은 기성제도 운영지침을 따름),조달관리 실무과정
106,가,기술용역,"Technical Services. 용역이란 물자의 형태를 취하지 않고 생산과 소비에 필요한 노무를 제공하는 일(Service)을 말하며, 기술용역은 타인의 위탁에 의하여 고도의 과학기술을 응용하여 사업 및 시설물의 계획, 연구, 설계, 분석, 조사, 조달, 시험, 감지, 시운전, 평가, 자문, 지도, 그 밖의 사항을 용역 지원하는 것을 말한다.",국방전력발전업무훈령 별표
107,가,기술제안서,"입찰자가 발주기관이 교부한 설계서 등을 검토하여 공사비 절감방안, 공기단축방안, 공사관리방안 등을 제안하는 문서를 말한다.",국계법 시행령 제98조
108,가,기초예비가격,조사금액을 기준으로 계약담당공무원이 결정한 금액으로서 복수예비가격 산정의 기준이 되는 가격을 말한다.,계약업무처리훈령
109,가,긴급공고,각 발주기관의 처리지침에 의하여 정상공고의 공고기간보다 짧은 기간 동안 나가는 입찰공고를 말한다.,정보화기획담당관
110,나,나토생산자부호,"NCAGE(Nato Commercial And Government Entity). 나토국 및 목록회원국에서 회사명, 주소, 연락처 등 업체식별자료를 관리하기 위한 부호로써, 해당 업체는 나토생산자 부호를 부여받아 군수품 목록화 및 국제입창 업체등록에 사용하며, 우리나라는 ""XXXXF""의 형태를 사용한다. 신규 신청은 국방표준종합정보시스템에서 접수 및 관리한다.",정보화기획담당관
111,나,낙찰률,예정가격에 대한 낙찰금액 또는 계약금액의 비율을 말한다.,국계법 시행령 제31조
112,나,낙찰선언,"입찰공고의 개찰 처리 후 입찰금액의 적정성, 계약이행능력 등을 고려하여 계약상대자로 가장 적합한 입찰자를 선언하는 것으로 국방전자조달시스템을 통해 공고된 입찰은 입찰공고에 표시된 절차와 방법에 따라 낙찰선언이 이루어진다.",국계법 시행령 제40조
113,나,낙찰하한율,"입찰공고에서 예정가격 대비 낙찰이 가능한 하한가 비율을 말한다. 즉, 예정가격에 낙찰하한율을 곱한 금액이 낙찰하한가가 되며 낙찰하한가 이상의 투찰금액만 유효하게 된다. 낙찰하한율은 관련 규정에 따라 방위사업청/국방부/조달청 등 기관별, 물품/시설/용역/중소기업자간 등 분야별, 추정가격에 따른 차이 등 각기 상이하므로 해당 입찰공고문과 규정을 꼼꼼하게 확인할 필요가 있다.",정보화기획담당관
114,나,납기,군수품을 납품해야 하는 정해진 기간을 말한다.,정보화기획담당관
115,나,납지,군수품을 납품해야 하는 정해진 장소을 말하며 군수품 특성상 주로 각 군부대가 해당된다.,정보화기획담당관
116,나,납품,"Delivery. 구매 요구된 물품을 인수시키기 위하여 계약업자가 계약상 명시된 검사일시 및 장소에 해당 물품을 도착시키는 것을 말한다. 납품은 납품 대상지에 따라 지역도(地域渡), 부대도(部隊渡), 공장도(工場渡) 등으로 구분될 수 있다.",국방표준바코드 운용지침서 별지
117,나,납품검사,"Acceptance Inspection. 구매요구시 계약내용에 명시된 성능과 특성을 충족시키는지를 확인하는 검사로서 중앙조달인 경우 국방기술품질원, 부대조달인 경우 부대별 품질검사부서 또는 해당 지휘관이 임명한 검사관에 의해 실시한다.",국방표준바코드 운용지침서 별지
118,나,납품조서,"Delivery Record. 군 검사관이 납품검사를 하여 군이 요구조건에 합격한 물품을 업체에서 납지부대에 납품할 때 함께 제출하는 서류이다. 기재된 내용에는 계약번호, 재고번호, 납품일자, 납품장소, 품목, 수량, 금액 등이며 수납 및 대금 정산용으로 사용한다.",국방표준바코드 운용지침서 별지
119,나,납품통지,"단위당 단가와 예정수량을 약정한 연간 단가계약의 경우, 계약상대자에게 조달지시된 물품을 제조 또는 구매하여 지정한 기한까지 지정된 장소로 납품하도록 통지하는 것을 말한다.",국방조달 참여 길라잡이
120,나,내역입찰,입찰 시 산출내역서를 제출받는 입찰방법을 말한다.,계약예규 1. 제17조
121,나,노무비,"제조원가를 구성하는 직접노무비, 간접노무비를 말한다. 직접노무비는 제조현장에서 계약목적물을 완성하기 위하여 직접작업에 종사하는 종업원 및 노무자에 의하여 제공되는 노동력의 대가로서 기본급/제수당/상여금/퇴직급여충담금의 합계액이며, 간접노무비는 직접 제조작업에 종사하지는 않으나, 작업현장에서 보조작업에 종사하는 노무자, 종업원과 현장감독자 등의 기본급과 제수당, 상여금, 퇴직급여충당금의 합계액을 말한다.",계약예규 2. 제10조
122,다,다수공급자계약제도,"MAS(Multiple Award Schedule). 수요기관의 다양한 수요를 충족하기 위하여 품질, 성능 및 효율 등이 같거나 유사한 종류의 물자를 다수공급자와 계약하고 수요기관이 자유롭게 선택할 수 있는 계약제도를 말한다. 납품실적, 경영상태 등이 일정한 기준에 적합한 공급자를 대상으로 협상을 통해 단가계약을 체결하며, 복수의 공급자와 체결된 계약 물품을 인터넷 쇼핑몰을 통해 공급한다. 다수공급자계약제도는 수요자의 다양한 선택권을 보장하고, 업체 간 경쟁을 유도하여 가격 및 품질 향상을 기대할 수 있다는 장점을 지닌다. 조달청 나라장터에서는 지난 '06년부터 도입되어 쇼핑몰을 통한 대규모 MAS 계약이 이루어 지고 있으며, 국방 분야 군수품 조달에서는 '사용자 중심의 선택적 계약제도'라는 명칭으로 현재 제도 도입이 활발하게 논의되고 있다.",민군 상생을 위한 국방조달시스템 혁신 세미나
123,다,단가계약,"일정 기간 계속하여 제조, 수리, 가공, 매매, 공급, 사용 등의 계약을 할 필요가 있을 때에는 해당 연도 예산의 범위에서 단가(單價)에 대하여 체결하는 계약을 말하며 계약체결 시 총 구매수량을 확정하기 곤란한 경우에 적용하여 계약 시 단가만 확정하고 수량은 예상 수량만 표기한다.","국계법 제22조, 계약실무편람"
124,다,단년도계약,회계연도 독립의 원칙에 따라 당해연도 편성된 예산의 범위 내에서 계약하고 납품까지 완료되는 통상적인 계약형태를 말한다.,계약실무편람
125,다,단독계약,일반적인 계약형태로 계약상대자 1인과 계약하는 경우로서 대부분의 계약품목에 적용된다.,계약방법 형태별 내용 적용 현황
126,다,단문메시지 서비스,"SMS(Short Message Service). 휴대폰을 통해 짧은 문자를 주고 받는 서비스를 말한다. 최근 SNS의 발달에 따라 SMS의 개인 사용량은 감소했으나, 통신사에서 기본으로 제공하는 휴대폰 기본 서비스인만큼 별도의 앱 설치나 가입 절차 없이 모든 사용자에게 서비스 제공이 가능한 장점을 지닌다. 국방전자조달시스템은 업무 처리 간 주요 정보를 사전 신청자를 대상으로 SMS서비스를 제공하고 있다.",정보화기획담당관
127,다,단일공사,당해년도 예산상 특정단일사업으로 책정된 공사와 그 시공지역에서 이와 관련하여 시공되는 부대공사를 말한다.,계약예규 1. 제15조
128,다,대리계약관,계약관의 사무의 전부를 대리하는 공무원을 말한다.,국계법 시행령 제5조
129,다,대리분임계약관,분임계약관의 사무를 대리하는 공무원을 말한다.,국계법 시행령 제5조
130,다,대안,정부가 작성한 실시설계서상의 공종중에서 대체가 가능한 공종에 대하여 기본방침의 변동없이 정부가 작성한 설계에 대체될 수 있는 동등이상의 기능 및 효과를 가진 신공법·신기술·공기단축등이 반영된 설계로서 해당실시설계서상의 가격이 정부가 작성한 실시설계서상의 가격보다 낮고 공사기간이 정부가 작성한 실시설계서상의 기간을 초과하지 아니하는 방법(공기단축의 경우에는 공사기간이 정부가 작성한 실시설계서상의 기간보다 단축된 것에 한한다)으로 시공할 수 있는 설계를 말한다.,국계법 시행령 제79조
131,다,대안입찰,원안입찰과 함께 따로 입찰자의 의사에 따라 대안이 허용된 공사의 입찰을 말한다.,국계법 시행령 제79조
132,다,대외군사판매,"FMS(Foreign Military Sales). 국외구매방법의 한 형태로 미국정부가 무기수출통제법(Arms Export Control Act) 등 관련 법규에 의거 미국의 우방국 및 동맹국 또는 국제기구에 정부 간의 계약에 의하여 대외지급수단 및 차관금액으로 군사상 필요한 물자를 유상으로 판매하는 방법을 말하며 지정구매, 총괄구매 및 군수보급지원약정으로 구분한다. 지정구매(Defined Order Case : DO)는 FMS구매물자를 구매할 경우에 대상품목, 수량, 예상가격 및 인도 예정일  등 제반조건을 청약 및 수락서상에 구체적으로 명시하여 구매하는 계약방법을 말한다. 총괄구매(Blanket Order Case : BO)는 FMS물자를 구매할 경우에 구매대상품목에 대하여 총금액 및 구매기간만을 명시하여 계약한 후 그 범위 내에서 수시로 청구하여 구매하는 계약방법을 말한다. 군수보급지원 약정(Cooperative Logistics Supply Support Arrangements : CLSSA)는 미국 국방성 군수지원체제를 통하여 외국에 군수지원을 제공해 주는 국제 협동군수지원체제로서 미국과 해당 우방국 간의 군별 쌍무약정에 의해 평시 지속적인 계획의 일환으로 시행되고 있는 대외판매의 형태를 말한다.",국방전력발전업무훈령 별표
133,다,대정부간구매,"국외조달 구매방법의 한 형태로 우리나라정부가 외국정부로부터 군수품을 구매하는것을 말하며, 대외군사판매(FMS)를 포함한다.",방위사업관리규정 별표
134,다,대형공사,총공사비 추정가격이 300억원이상인 신규복합공종공사를 말한다.,국계법 시행령 제79조
135,다,도급,도급계약에 있어 수급인인 자가 인수한 일의 완성을 다시 제3자에게 도급시키는 것으로 하청이라고 하고 그 하청을 받은 자를 하청인이라 한다. 도급은 일의 완성이 목적이므로 하도급이 허용되고 있으나 법률 또는 계약에 의거 이를 금지하는 경우도 많다. 건설업법은 일괄하도급을 원칙으로 금지하고 있다. 하청인은 법률상 이행보조자이므로 그 행위에 대하여서는 수급인이 책임을 진다.,국방전력발전업무훈령 별표
136,다,동일구조물공사,천연 또는 인조의 재료를 사용하여 그 사용목적에 적합하도록 만들어진 기능이 상호 연결되는 일체식 구조물(그 부대공작물을 포함)로서 동일인이 계속하여 시공함이 적합한 시설물을 말한다.,계약예규 1. 제15조
137,라,로그인,"Login. 사용자가 시스템에 등록하는 절차로 사용자 확인, 등록관리, 사용자와 시스템 간의 네트워크 정보의 교환 등의 처리 절차를 말한다. 로그인은 개별 사용자에게 업무 서비스를 제공하기 위한 시스템 프로세스의 하나로 다양한 방식이 있으며 국방전자조달시스템은 아이디/비밀번호, 공인인증서, 지문인식을 사용하고 있다. 국방전자조달시스템의 로그인 방법은 크게 아이디 로그인과 지문인식 로그인의 2가지 방법이 있으며, 입찰서 제출을 하기 위해서는 반드시 지문인식 로그인을 사용하여야 한다. (불가피한 경우 지문인식 예외적용 신청 가능)",육군군사용어사전
138,라,로트번호,"LN(Lot Number). 군수품 및 원재료 등의 단위체 또는 단위량이 어떤 목적에 의하여 모여진 것을 말한다. 생산 분야에서의 로트번호는 동일 설계도에 의거 시설, 장비, 재료조건, 생산자 및 생산기간을 한정된 범위 내에서 제조함으로써 성능 및 효력이 동일함을 나타내는 집단적인 표시규격이다.",국방표준바코드 운용지침서 별지
139,마,면허제한,"국가를 당사자로 하는 계약법 시행령에 따라 경쟁입찰에 참가하는 자는 해당 입찰공고에서 명시하는 면허 자격을 갖추어야 한다. 국방전자조달시스템에서는 계약담당공무원이 입찰공고에 공종 및 면허제한을 8개 그룹까지 지정할 수 있으며, 해당 면허가 없는 조달업체는 입찰에 참여할 수 없다.",국계법 시행령 제12조
140,마,명시이월,"세출예산 중 사업의 성질상 회계연도 내에 경비지출을 끝내지 못하고 다음 해에 이월하여 지출해야 할 경우 그 취지를 예산에 명시하여 미리 국회의 의결을 얻은 경비를 말하며, 이는 회계연도 내에 지출하지 못하게 된 사업의 중단을 방지하고 연도 내에 무리한 사업의 집행으로 인한 예산의 낭비를 예방하기 위한 것이다.",국방전력발전업무훈령 별표
141,마,모바일 서비스,"스마트폰, 태블릿 등 모바일 기기를 통해 언제 어디서나 접근할 수 있는 서비스를 말한다. 국방전자조달시스템은 모바일 앱으로 인터넷 시스템의 주요 조달정보(공지사항, 조달계획, 입찰공고, 입찰결과, 계약정보 등)을 조회할 수 있다.",정보화기획담당관
142,마,모의입찰,"조달업체가 입찰에 참여하기 전에 동일한 과정을 먼저 경험하도록 함으로써 실제 업무 처리에 도움을 주기 위해 운영 중인 서비스이다. 조달업체는 입찰공고 목록조회 - 청렴서약서 - 입찰참가신청서 작성 - 입찰서 제출 등 실제 입찰 과정에 따라 다양한 입찰방법에 대해 연습해볼 수 있다. 국내조달과 시설공사 모의입찰은 시스템 메인화면 하단에서, 국외조달은 국외조달 좌측 메뉴 하단에서 각각 실행이 가능하다.",정보화기획담당관
143,마,목록화,"Codification. 목록이란 군수품에 대한 제원 및 자료 등을 일정한 형식과 체계에 따라 일목요연하게 나열한 일람표이며, 재고번호에 원자재, 품명, 형상, 규격 등 자료관리를 할 수 있고, 예산편성, 조달판단, 정비, 청구 등 각종 군수업무를 기록한 것이다. 목록화란 국제적으로 표준화된 체계와 제도화된 절차에 따라 군수품을 분류 및 식별, 품명, 재고번호를 부여하며, 특성 및 관리자료 작성 등 일련의 과정을 말한다.",국방표준바코드 운용지침서 별지
144,마,목표가,"Target Price. 특정조달을 위한 국가를 당사자로 하는 계약에 관한 법률시행령 특례규정 및 동 특례규칙에서 정하고 있는 예정가격 작성의 예외가 되는 국외 상업구매 품목에 대하여 적정한 가격으로 구매목적을 달성하기 위해 각종 가용한 가격정보를 비교, 분석하여 입찰이나 가격 협상시 기준 또는 참고가 되도록 계약관이 내부적으로 설정한 가격을 말한다.",방위사업관리규정 별표
145,마,목표비용관리제도,"CAIV(Cost As an Independent Variable). 공격적이고 달성가능한 비용목표를 설정하고, 전 사업기간동안 지속적으로 양산단가 및 운영유지비용과 성능 간의 절충(Trade-Off)을 통하여 목표비용 내에서 성공적으로 체계를 개발하게 하는 제도를 말한다.",국방전력발전업무훈령 별표
146,마,목표원가,「방위사업법 시행령」에 따른 유인부확정계약과 유인부원가정산계약을 체결하는 경우에 계약상대자가 원가 수준을 통제할 수 있는 비목(費目)이나 그 구성요소를 계약상대자와 합의하여 정하는 유인부적용대상 비목등의 총원가를 말한다.,방위산업계약사무처리규칙 제2조
147,마,목표이익,유인부계약을 체결하는 경우에 목표원가에 일정한 이윤율을 곱하여 산출된 금액을 말한다.,방위산업계약사무처리규칙 제2조
148,마,무기체계,"유도무기ㆍ항공기ㆍ함정 등 전장(戰場)에서 전투력을 발휘하기 위한 무기와 이를 운영하는데 필요한 장비ㆍ부품ㆍ시설ㆍ소프트웨어 등 제반요소를 통합한 것으로서 통신망 등 지휘통제·통신 무기체계, 레이다 등 감시·정찰무기체계, 전차·장갑차 등 기동무기체계, 전투함 등 함정무기체계, 전투기 등 항공무기체계, 자주포 등 화력무기체계, 대공유도무기 등 방호무기체계, 모의분석·모의훈련 소프트웨어 및 장비 등 그 밖의 무기체계 등을 말한다.",방위사업법 제3조
149,마,무역대리점,"방위사업청에 조달원으로 등록된 자로서, 업체로부터 대가를 받고 업체와 방위사업청의 계약체결을 위하여 계약 체결 이전의 제반과정 및 계약이행과정에서 필요시 업체를 지원 또는 대표할 수 있도록 업체로부터 권한을 위임받은 자를 말한다.",방위사업관리규정 별표
150,마,무역중개업자,수수료 등 대가를 받고 외국의 업체가 방위사업청과의 방위력개선사업에 관한 계약체결과 이에 부대되는 행위를 하도록 중개 또는 대리하는 행위를 업으로 하는 자를 말한다.,무역중개업자 활용에 대한 업무지침 제2조
151,마,문서함,「전자문서 및 전자거래 기본법」에 따라 국방전자조달시스템에서 이용하는 전자문서를 조달업체가 열람하기 위하여 시스템에 설치된 기능을 말한다.,국방전자조달시스템 이용에 관한 약관 제2조
152,마,물가변동당시가격,물가변동당시 산정한 각 품목 또는 비목의 가격을 말한다.,국계법 시행규칙 제74조
153,마,물가변동률,Price Fluctuation Rate. 실적품목의 계약시점 또는 목표가격의 작성시점과 목표가 산정시점까지의 기간중 해당 국가 해당품목ㆍ품류의 물가지수 증감률을 말한다.,방위사업관리규정 별표
154,마,물가변동적용대가,계약금액 중 조정기준일 이후에 이행되는 부분의 대가를 말한다.,국계법 시행규칙 제74조
155,마,물가조정단가계약,최근 2년 이내에 원가계산방법에 의하여 예정가격을 결정한 후 계약을 체결한 실적이 있는 품목으로서 새로이 원가계산을 하지 아니하고 최근 계약실적단가에 생산자물가 기본분류별 지수등락률 만큼 조정하여 방위사업청장이 정하는 계약금액의 범위 안에서 계약하고자 하는 경우에 체결하는 계약,방위사업법 시행령 제61조
156,마,물량내역서,공종별 목적물을 구성하는 품목 또는 비목과 동 품목 또는 비목의 규격·수량·단위 등이 표시된 내역서를 말한다.,계약예규 9. 제2조
157,마,물품,"국가가 소유하는 동산(動産)과 국가가 사용하기 위하여 보관하는 동산을 말하며, 다만 동산 중 현금, 한국은행에 기탁해야 할 유가증권, 국유재산은 제외한다.",물품관리법 제2조
158,바,반복조달계약,특례조달계약중 동일 또는 동종물품의 조달을 위하여 동일 연도중 동일인과 두 번 이상 체결하는 계약을 말한다.,특정물품조달특례규정 제2조
159,바,발주기관,물품·공사 및 용역을 조달하기 위하여 계약을 체결하는 국가기관을 말한다.,특정조달특례규정 제2조
160,바,방산수의,방위사업청 중앙조달을 통해 체결되는 수의계약 품목 중 방산물자 품목 계약이 대다수를 차지한다. 방산수의는 해당 방위산업체와 계약이 비공개로 진행된다.,정보화기획담당관
161,바,방산원가대상물자,방위사업법에 따라 지정된 물자 및 연구 또는 시제품 생산을 하게 하는 물자를 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
162,바,방산제비율,"방산원가에서 방산제비율은 방산원가대상물자 원가계산시 적용할 간접노무비율, 간접경비율, 일반관리비율, 투하자본보상율, 이윤율 등을 말한다.",방산원가시행세칙 제2조
163,바,방위력개선사업,군사력을 개선하기 위한 무기체계의 구매 및 신규개발ㆍ성능개량 등을 포함한 연구개발과 이에 수반되는 시설의 설치 등을 행하는 사업을 말한다.,방위사업법 제3조
164,바,방위력개선사업비,"국방중기계획에 의거 주요 전투장비 및 물자인 방산물자를 구매하기 위하여 편성된 예산으로 즉, 군사력 개선을 위한 무기체계의 구매 ,신규개발, 성능개량 등을 포함한 연구개발과 이에 수반되는 시설의 설치 등을 행하는데 소요되는 예산을 말한다.",계약업무 CHECKPOINT
165,바,방위사업법,"방위사업의 수행에 관한 사항을 규정한 법으로 군수품 조달에 관련한 내용을 포함하고 있으며, 국가를 당사자로 하는 계약에 관한 법률에서 규정한 계약방법 이외에 타 계약방법을 규정하고 있다.",방위사업법 제1조
166,바,방위사업청,"방위력 개선사업, 군수물자의 조달 및 방위산업의 육성과 그 밖에 방위사업에 관한 사무를 관장하기 위해 2006년 개청한 국방부 소속 외청, 중앙행정기관이다. 따라서 군수품 조달 업무를 처리하는 시스템인 국방전자조달시스템은 국방부가 아닌 방위사업청에서 운영, 관리하고 있다.",방위사업청소속기관직제 제1조
167,바,방위산업,"방위산업물자를 제조ㆍ수리ㆍ가공ㆍ조립ㆍ시험ㆍ정비ㆍ재생ㆍ개량 또는 개조(이하 ""생산""이라 한다)하거나 연구개발하는 업을 말한다.",방위사업법 제3조
168,바,방위산업물자(방산물자),"군수품 중 무기체계로 분류된 물자 중에서 안정적인 조달원 확보 및 엄격한 품질보증 등을 위하여 필요한 물자로 지정된 물자를 말하며, 방위사업청장이 산업통상자원부장관과 협의하여 지정한다.","방위사업법 제3조, 제34조"
169,바,방위산업시설,방위산업체 및 전문연구기관에서 방위산업물자의 연구개발 또는 생산에 제공하는 토지 및 그 토지상의 정착물(장비 및 기기를 포함한다)을 말한다.,방위사업법 제3조
170,바,방위산업체(방산업체),"방산물자를 생산하기 위해 산업통산자원부장관이 지정한 업체로 지정 시 방위사업청장과 협의를 거치며, 방산업체는 주요방산업체와 일반방산업체로 구분된다.","방위사업법 제3조, 제35조"
171,바,보조감리원,"소관 분야별로 책임감리원을 보좌하는 감리원으로써, 담당 감리업무에 대하여 책임감리원과 연대하여 책임지는 자를 말한다.",계약예규 11. 제39조
172,바,보증채무,계약상대자가 정당한 이유 없이 계약상의 의무를 이행하지 아니한 경우 보증기관이 발주기관에 대하여 보증하여야 할 의무를 말한다.,계약예규 1. 제41조
173,바,복수 연구개발사업,"방위사업법 시행규칙에 따라 무기체계, 구성장비 또는 구성품을 연구개발로 획득하기 위하여 2개의 연구개발 주관기관 또는 시제업체를 선정하여 추진하는 사업을 말하며, 해당 사업의 입찰공고는 국방전자조달시스템 - 국내조달 - 입찰공고 상세내역 조회 시 '복수업체연구개발 대상구분'에서 대상으로 표시된다.",방위사업관리규정 제171조의5
174,바,복수예비가격,"기초예비가격을 기준으로 ±3% 범위로 산정한 15개의 가격을 말한다. 조달업체는 입찰서를 제출할 때 2개의 번호를 선택하며, 각 업체에서 선택한 번호들중 가장 많이 선택된 4개 번호에 해당하는 4개의 복수예비가격을 산술평균하여 예정가격으로 선정한다.","계약업무처리훈령, 계약업무 CHECKPOINT"
175,바,본조,"본조달예산. 당해 연도 내에 계약, 납품, 지출을 완료하는 예산으로 당해 연도에 납기를 설정해야 한다.",계약업무 CHECKPOINT
176,바,부대비,"Accessorial Charges. 국제계약 체결 시 물자대 외에 인도과정에서 발생하는 포장, 결속, 취급, 수송 및 적하보험료, 조작비 등의 비용을 말한다.",국제계약 실무과정
177,바,부대입찰,"공사입찰에서 입찰자로 하여금 산출내역서에 입찰금액을 구성하는 공사중 하도급할 부분, 하도급금액 및 하수급인 등 하도급에 관한 사항을 기재하여 제출하게 하는 입찰 방법을 말하며 현재는 유효하지 않은 방법이다.",국계법 시행령 제19조
178,바,부대조달,"방위사업법에 따라 방위사업청은 군수품을 일괄적으로 조달하나, 각군에서 군수품을 직접 조달할 수 있으며 이를 부대조달이라 한다. 부대조달이 가능한 군수품은 부대가 직접 개발한 시제품, 군 정비부대에서 행하는 정비 및 소모성 물자, 단위 품목당 연간 조달계획금액이 3천만원 미만인 품목, 3천만원 이상 5천만원 미만의 품목 중 부대조달 실적이 있는 단위 품목, 국방규격이 없고 견본 제시가 불가능한 품목, 긴급 구매 품목, 보안유지가 필요한 품목, 특수 제작설치가 필요한 품목, 그 밖에 부대조달이 효율적이라고 판단하여 합의된 품목 등이 있다. 국방전자조달시스템에서 입찰 및 계약 부서(또는 담당자)가 방위사업청이 아닌 각 군부대인 경우에는 부대조달 품목으로 보면 된다.",방위사업법 시행령 제29조
179,바,부대조달정보체계,"UPIS(Unit Procurement Information System). 각 군부대 계약담당관이 구매요청서 작성부터 조달판단, 입찰공고, 적격심사, 계약, 대가지불까지 부대조달 업무 전 과정을 온라인에서 처리할 수 있도록 지원하는 내부(국방망) 업무 시스템으로 국방전자조달시스템과 밀접하게 연계되어 사용된다.",정보화기획담당관
180,바,부정당업자,경쟁의 공정한 집행이나 계약의 적정한 이행을 해칠 염려가 있거나 그 밖에 입찰에 참가시키는 것이 적합하지 아니하다고 인정되는 자를 말한다.,국계법 제27조
181,바,부정당제재,부정당업자를 대상으로 2년 이내의 범위에서 입찰 참가자격을 제한하는 것을 말한다. 조달청 나라장터를 통해 각 국가기관의 부정당제재 내역이 공유되므로 특정 기관에서 제재된 기록이 있다면 타 국가기관 및 자체전자조달시스템에서도 입찰에 참여할 수 없게 된다.,국계법 제27조
182,바,부품,"방산원가에서 부품은 부분품, 구성품, 결합체 등을 말한다.",방산원가대상물자의원가계산에관한규칙 제2조
