,입찰명,발주기관,낙찰자(상호)
68735,2024 K10신형제독장치 부품(전기/전자류)(제조),지상공통전력운영계약팀,주식회사 와이어블(Wiable Corp.)
68816,(자재) 부품제작자재 항공난연천용접착제 구매,육군종합정비창,주식회사 창원상사
68858,VTOL 무인기 배터리 등 44종 구매,제8385부대,상생
68880,해병대 차량용 배터리 충전기 14EA 구매,해군군수사령부,지에이치켐(GH켐)
68995,발굴장비(봉형 금속탐지기)구매납품,국방부유해발굴감식단,조은
69004,[상층대기 분석장비]회로카드 조립체 등 4종 구매,공군군수사령부,에스엠트레이딩
69060,다기능접속장치(MFE) 유선카드조립체 대체픔 개발,육군군수사령부,시스랩스
69070,문형 금속탐지기 구매,4284부대,에스와이
69181,'24년 000부대 휴대용 금속탐지기 세트 구매,제9965부대,해원산업
69188,'24년 000부대 휴대용 금속탐지기 세트 구매,제9965부대,해원산업
69248,K21 베어링 등 2종 구매,육군종합정비창,금성특수산업
69482,과학화경계시스템 UPS배터리 교체설치(X076),제21보병사단,주식회사 명인전력
69565,K1전차 베어링 등 2종 구매,육군종합정비창,덕산베아링
69625,24-N-해병대 비금속탐지기 등 2종 구매,국군재정관리단,웰컴퍼니
69676,"K21 베어링,롤러식 등 2종 구매",육군종합정비창,주식회사연합시스템
69679,K1전차 베어링 등 7종 구매,육군종합정비창,세강상사
69757,VRC-946K장치대부품(구매),해상공중전력운영계약팀,연합정밀(주)
69771,'24년 무정전전원장치(UPS) 배터리 납품 설치,해군작전사령부,동진이엔에스
69784,"K200 볼트,기계용 등 22종 구매",육군종합정비창,다연테크
69786,"K200 베어링,롤러식,테이퍼형 등 16종 구매",육군종합정비창,에스케이(SK)산업
69907,솔레노이드조립체 등 6항목 구매(자주포),육군군수사령부,티케이(T.K)테크
70003,케이블 조립체 등 62항목 제조(자주포),육군군수사령부,석산전자 주식회사
70086,회로카드 조립체 등 7항목 구매(자주포),육군군수사령부,주식회사 엔아이티
70088,"필터,무선주파수 혼신용 등 9항목 구매(자주포)",육군군수사령부,석산전자 주식회사
70089,전자 구성품 조립체 등 9항목 구매(자주포),육군군수사령부,주식회사 엔아이티
70122,금속탐지기,해군군수사령부,김앤한컴퍼니
70182,24년 공용화기 부품류(제조),지상공통전력운영계약팀,주식회사 엔에이치
70252,"탐지기,금속결함탐지용,전기식 1EA 구매",해군군수사령부,디에이전
70366,UPS 및 정류기반 배터리 설치납품,자운대근무지원연대,그린테크
