0,대분류,중분류,소분류
6각 빗트 소켓 등 907종,공구·설비,수공구/전동공구,수공구·전동공구
식품작업용그릇 등 8종 구매,급식·식품,식자재,식자재
간부숙소 알루미늄창호 제조설치,기타,기타,기타
유해발굴 수습물자(관 등 4종) 제조납품,기타,기타,기타
유해발굴 수습물자(스폰지 등 15종) 구매납품,기타,기타,기타
증식류 소시지바 구매,기타,기타,기타
증식류 호떡 구매,기타,기타,기타
치과용 캐비닛 1항목 구매 설치(물품),피복·생활·사무,가구/집기,사무가구·집기
수술용 칼 5항목 구매(물품),기타,기타,기타
이마형 체온계 등 7항목  구매(물품),기타,기타,기타
흑구습구온도계 등 4항목 구매(물품),기타,기타,기타
포제명찰 새김 및 벨크로 부착 제조,기타,기타,기타
뉴PD수첩 등 363종,기타,기타,기타
00부대 육아보육시설 교재교구류 구매,기타,기타,기타
PC-132A 건전지 등 9항목 구매(물자),IT·통신장비,PC/주변기기,PC·주변기기
LBP-6535K 토너/드럼(슈퍼재생) 등 7항목 제조,IT·통신장비,PC/주변기기,PC·주변기기
HP-CLJ5550DN 검정(정품) 등 70항목 구매,기타,기타,기타
밸브  솔레노이드용 등 22품목,전력·전기전자,전자부품,센서·모듈
부품키트  스로틀  조절레버용 등 17품목,기타,기타,기타
워터젯추진기용 실린더,기타,기타,기타
케이블조립체(TPQ-36 37용),전력·전기전자,조명/전선,LED·전선
케이블조립체(TAS-970K용),전력·전기전자,조명/전선,LED·전선
볼펜 등 438품목 구매,피복·생활·사무,사무/문구,문구·사무기기
에프시 듀라토프 디피 등 20품목,기타,기타,기타
지뢰제거작전 보호의 등 장비구매,기타,기타,기타
수도병원 보장구 72종 구매,기타,기타,기타
파병 티셔츠 등 3종,기타,기타,기타
스텐망등8종구매,기타,기타,기타
육각볼트등17종구매,건설·시설,자재/철물,자재·철물
K1케이블조립체등6종구매,전력·전기전자,조명/전선,LED·전선
K1 베어링등11종구매,기타,기타,기타
리본부교 튜브조립체등10종구매,기타,기타,기타
