word,freq,대분류,중분류,소분류
장기,137,기타,기타,기타
증폭기,136,기타,기타,기타
먹다,136,기타,기타,기타
지대,136,기타,기타,기타
용기,135,기타,기타,기타
기계,135,기타,기타,기타
트레일러,135,기타,기타,기타
초음파,135,기타,기타,기타
지용,135,기타,기타,기타
기지,134,기타,기타,기타
빵류,134,급식·식품,가공/식자재,식자재
지뢰,134,기타,기타,기타
오링,133,기타,기타,기타
브래킷,132,기타,기타,기타
클램프,131,IT·통신,PC/주변기기,PC/노트북
오다,131,기타,기타,기타
외부,131,기타,기타,기타
렌탈,131,기타,기타,기타
유지관리,131,기타,기타,기타
조준,130,기타,기타,기타
무선,130,IT·통신,무선/통신장비,무전기/위성
통조림,130,급식·식품,가공/식자재,식자재
승강기,130,기타,기타,기타
무기,130,기타,기타,기타
단기,130,기타,기타,기타
기능,129,기타,기타,기타
네트워크,129,기타,기타,기타
화학,129,기타,기타,기타
로프,129,기타,기타,기타
서울,128,기타,기타,기타
저장,128,기타,기타,기타
드럼,128,기타,기타,기타
쉘터,128,기타,기타,기타
롤러,128,기타,기타,기타
송풍기,127,기타,기타,기타
설비,127,기타,기타,기타
계산,126,기타,기타,기타
호용,126,기타,기타,기타
석기,126,기타,기타,기타
기관,126,기타,기타,기타
내자,125,기타,기타,기타
외과,125,기타,기타,기타
개량,125,기타,기타,기타
플라스틱,124,기타,기타,기타
오일,124,차량·기동,차량/정비,차량부품/소모품
화생방,124,기타,기타,기타
레이,123,기타,기타,기타
지정,123,기타,기타,기타
창고,123,기타,기타,기타
방화,123,기타,기타,기타
내진,122,기타,기타,기타
전동기,121,기타,기타,기타
표지,121,건설·시설,안전/현장,현장안전/표지
유압식,121,기타,기타,기타
휘장,121,기타,기타,기타
에어,121,기타,기타,기타
방위,120,기타,기타,기타
지상,120,기타,기타,기타
액체,120,기타,기타,기타
건조,119,기타,기타,기타
전송,119,기타,기타,기타
플러그,119,기타,기타,기타
입영,119,기타,기타,기타
잠수,119,기타,기타,기타
센서,119,전력·전기전자,전자부품,센서/모듈
소화기,119,공구·설비,안전/소방,소방/안전장비
축전지,118,전력·전기전자,발전/저장,발전기/배터리
위성,117,IT·통신,무선/통신장비,무전기/위성
가계약,116,기타,기타,기타
경쟁,116,기타,기타,기타
실내,116,기타,기타,기타
제거,116,기타,기타,기타
군사,115,기타,기타,기타
생활,115,기타,기타,기타
노즐,115,기타,기타,기타
소화,115,기타,기타,기타
침대,115,기타,기타,기타
자동식,115,기타,기타,기타
기류,115,기타,기타,기타
원가,114,기타,기타,기타
전투식량,114,급식·식품,가공/식자재,식자재
유해,114,기타,기타,기타
브레이크,114,차량·기동,차량/정비,차량부품/소모품
개다,114,기타,기타,기타
공업,114,기타,기타,기타
개인,114,기타,기타,기타
청락,114,기타,기타,기타
싱크대,113,기타,기타,기타
야간,113,기타,기타,기타
정찰,113,기타,기타,기타
성품,113,기타,기타,기타
혼합,112,기타,기타,기타
산소,112,의료·의약·위생,의료소모/장비,의료장비/키트
램프,112,IT·통신,PC/주변기기,PC/노트북
박스,110,기타,기타,기타
봉합,110,기타,기타,기타
고속,109,기타,기타,기타
개편,109,기타,기타,기타
인천,109,기타,기타,기타
선반,109,기타,기타,기타
트럭,109,차량·기동,차량/정비,차량부품/소모품
화재,109,공구·설비,안전/소방,소방/안전장비
교재,108,기타,기타,기타
수중,108,기타,기타,기타
레이저,108,기타,기타,기타
해파,108,기타,기타,기타
적용,108,기타,기타,기타
전동,107,기타,기타,기타
바나나,106,기타,기타,기타
교실,106,기타,기타,기타
