입찰공고번호,입찰공고차수,입찰공고명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
UMM0408,1,17년 해군 전군지원 상용SW 구매사업,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,82.995,419327199.0,427500000.0,0.0,2017-05-31,11:00:00,개찰완료,349481900.0,83.343,2017-05-31,(주)링네트,이주석,양순언,113-81-60244,"서울특별시 구로구 디지털로33길28, 1001호 (구로동,우림이비지센터)"
SCF0126,1,열선유리 사다리꼴형 1종,총액계약,제한경쟁,최저가격제,N,해군군수사령부,ZD00289,해군군수사령부,ZD00289,0.0,4888930.0,4980000.0,0.0,2017-05-19,10:30:00,개찰완료,3900000.0,79.772,2017-05-19,에스투 (S2) 테크,박성신,박성신,602-09-68022,부산광역시 영도구 절영로101번길 3-1
UMM0274,1,양압식공기호흡기 2형 구매,총액계약,일반경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,159526822.0,163040000.0,0.0,2017-05-19,11:00:00,개찰완료,149999000.0,94.027,2017-05-19,아폴론주식회사,류정의,김재우,264-81-11755,"경기도 안양시 동안구 흥안대로415-0 (평촌동), 717호"
LCF0613,1,16-충-육-55 관급자재(경동연선) 구매,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,49005000.0,0.0,2017-05-17,10:30:00,유찰,,,,,,,,
LCF0613,2,16-충-육-55 관급자재(경동연선) 구매,총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,,49005000.0,0.0,2017-05-23,10:30:00,유찰,,,,,,,,
HCF0078,1,서보 등30종,총액계약,제한경쟁,최저가격제,N,공군군수사령부,ZD00306,공군군수사령부,ZD00306,0.0,58608727.0,58948750.0,0.0,2017-05-19,10:30:00,개찰완료,49500000.0,84.458,2017-05-19,위드스카이,권태욱,권태욱,269-27-00310,충청남도 계룡시 엄사면 번영3길91-0 (대동황토방아파트) 111동 901호
SFG0093,1,에어라쳇 등 57품목,총액계약,제한경쟁,최저가격제,N,제9181부대,ZD00151,제9181부대,ZD00151,0.0,18388016.0,18440000.0,0.0,2017-05-17,10:30:00,개찰완료,13071371.0,71.086,2017-05-17,주식회사 효인산업,이강을,이병길,125-81-76017,경기도 안성시 일죽면 원설로945-8
SCR0057,1,재생토너 등 4종 구매,총액계약,제한경쟁,적격심사제,Y,해군제3함대사령부,ZD00155,해군제3함대사령부,ZD00155,87.995,8911027.0,9010000.0,0.0,2017-05-18,11:00:00,개찰완료,7931700.0,89.009,2017-05-18,주식회사 원우테크,오혜정,오혜정,217-81-09457,"서울특별시 노원구 월계로45길 28, 월계아파트 형공장 702호(월계동)"
HDK0020,1,차량 수리부속 구매(운전석시트 등 130종),총액계약,제한경쟁,적격심사제,Y,공군제11전투비행단,ZD00202,공군제11전투비행단,ZD00202,87.995,23786812.0,24340050.0,0.0,2017-05-17,13:30:00,개찰완료,21241500.0,89.299,2017-05-17,워크씨엔씨,남기현,남기현,368-05-00594,경기도 시흥시 오이도2길38 (정왕동)
EHB0047,1,VRC-946K장치대부품(구매),총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,3246786200.0,3267141000.0,0.0,2017-07-11,14:00:00,개찰완료,2731000000.0,84.113,2017-07-11,연합정밀(주),김은주,노철,312-81-09219,충청남도 천안시 동남구 목천읍 학수소사길219-27
EHA0054,1,휴대용제독기(KM-11),총액계약,제한경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,57719173.0,57908000.0,0.0,2017-06-09,11:30:00,개찰완료,57068500.0,98.872,2017-06-09,진우공업사,오재명,오영석,130-03-91948,경기도 부천시 삼작로133번길54-0 (내동)
MCN0027,1,UPS축전지 설치납품,총액계약,일반경쟁,최저가격제,N,국방부근무지원단,1290461,국방부근무지원단,1290461,0.0,23916560.0,24000000.0,0.0,2017-05-25,11:00:00,개찰완료,20570000.0,86.007,2017-05-25,주식회사배터리파크,박홍범,구자춘,689-87-00084,경기도 파주시 조리읍 작은연당길40-0
EHA0068,1,로드휠조립체(BV-206),총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,415679000.0,0.0,2017-06-20,15:00:00,유찰,,,,,,,,
EHA0068,2,로드휠조립체(BV-206),총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,414912620.0,415679000.0,0.0,2017-06-27,15:00:00,개찰완료,356200000.0,85.849,2017-06-27,영광산업사,도상만,이명술,622-14-60106,부산광역시 강서구 과학산단로305번길 57(지사동)
EGH0046,2,탐지기-냉각기조립체(TAS-815K용)정비,총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,290405000.0,0.0,2017-08-17,11:00:00,유찰,,,,,,,,
SFM0058,1,레펠용 로프 등 2종 구매,총액계약,제한경쟁,최저가격제,N,제3170부대,ZD00464,제3170부대,ZD00464,0.0,36800062.0,36823300.0,0.0,2017-05-24,10:30:00,개찰완료,29577600.0,80.373,2017-05-24,대성산업,김미숙,김미숙,507-03-80317,대구광역시 달서구 당산로41길6-4 (감삼동)
SDF0086,1,공기청정기 등 4종,총액계약,제한경쟁,최저가격제,N,제5738부대,ZD00158,제5738부대,ZD00158,0.0,2160659.0,2153000.0,0.0,2017-05-25,11:00:00,개찰완료,2150000.0,99.506,2017-05-25,일월종합상사,최덕준,최덕준,506-21-92551,경상북도 포항시 남구 동해안로5934-0 (일월동)
SDF0087,1,쇄석 등 3종,총액계약,제한경쟁,최저가격제,N,제5738부대,ZD00158,제5738부대,ZD00158,0.0,11700698.0,11890000.0,0.0,2017-05-25,11:00:00,개찰완료,9456000.0,80.815,2017-05-25,연천종합물산,양재석,양재석,506-17-39883,경상북도 포항시 남구 대송면 제내길53번길21-0
SCF0076,1,DDH-II 비행갑판 안전망 개조개장 정비,총액계약,일반경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,82.995,896527996.0,890600000.0,0.0,2017-05-30,10:30:00,개찰완료,757600000.0,84.503,2017-05-30,우주산업플랜트 주식회사,최창식,최창식,609-86-05878,경상남도 창원시 의창구 봉강가술로537번길42-0 (대산면)
LCF0631,1,칼라잉크젯 등 9항목 구매(물자),총액계약,제한경쟁,적격심사제,Y,육군군수사령부,1290307,육군군수사령부,1290307,87.995,6695046.0,6850000.0,0.0,2017-05-30,10:30:00,개찰완료,5961950.0,89.05,2017-05-30,주식회사 쿤스트에프케이,조경호,황성환,233-81-06748,경기도 광주시 오포읍 포은대로339(추자동)
HDF0017,3,작전지원과 칼라스모크(블루) 등 2종(17-105),총액계약,지명경쟁,적격심사제,Y,공군 제8전투비행단,ZD00185,공군 제8전투비행단,ZD00185,82.995,364978027.0,363403880.0,0.0,2017-05-30,11:00:00,개찰완료,310065630.0,84.954,2017-05-30,오리콘 주식회사,김민석,조인호,134-81-05248,경기도 안산시 단원구 산단로35번길142-0 (목내동)
HDF0017,2,작전지원과 칼라스모크(블루) 등 2종(17-105),총액계약,지명경쟁,적격심사제,Y,공군 제8전투비행단,ZD00185,공군 제8전투비행단,ZD00185,82.995,,363403880.0,0.0,2017-05-25,11:00:00,유찰,,,,,,,,
EGF0154,1,열영상 전차용 표적세트(윤곽형),총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,342884000.0,0.0,2017-06-26,11:00:00,유찰,,,,,,,,
EHA0091,1,라디에터,총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,330147000.0,0.0,2017-07-04,11:00:00,유찰,,,,,,,,
EHA0091,2,라디에터,총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,330147000.0,0.0,2017-07-11,11:00:00,유찰,,,,,,,,
MDD0061,1,2/4분기 전산운영용품 물품 구매,총액계약,제한경쟁,적격심사제,Y,국군수도병원,ZD00236,국군수도병원,ZD00236,87.995,9543620.0,9712000.0,0.0,2017-06-01,10:30:00,개찰완료,8399600.0,88.012,2017-06-01,모양방시스템,김주한,김주한,114-15-81010,"서울특별시 서초구 동광로1길42, 1층(방배동)"
EHA0082,1,쉘타 비전개식(2½사격지휘차용),총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,1787008000.0,0.0,2017-06-28,15:00:00,유찰,,,,,,,,
EHA0082,2,쉘타 비전개식(2½사격지휘차용),총액계약,수의계약,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,1787008000.0,0.0,2017-07-05,15:00:00,유찰,,,,,,,,
SCF0345,1,마이크로폰 고성능식 3EA,총액계약,제한경쟁,적격심사제,Y,해군군수사령부,ZD00289,해군군수사령부,ZD00289,87.995,5494264.0,5560000.0,0.0,2017-05-19,10:30:00,개찰완료,4956000.0,90.203,2017-05-19,태양전자,이상덕,이상덕,609-18-60625,경상남도 창원시 진해구 충장로 73-14()
