,입찰명,발주기관,낙찰자(상호)
69952,"'24-2차 경축특식 (추석,국군의 날)(커피, 가공우유)",육군제7789부대,이룸푸드
69953,"'24-2차 경축특식 (추석,국군의 날)(커피, 가공우유)",육군제7789부대,이룸푸드
69957,씻어나온쌀 구매,해군군수사령부,류홀마트(합포점)
69958,대패삼겹살(냉동) 구매,해군군수사령부,송림축산
69959,냉동수육용삼겹살 구매,해군군수사령부,류홀마트(합포점)
69960,차돌박이 구매,해군군수사령부,주식회사 원양에프엔지 농업회사법인
69964,'24년 국군의날 경축특식(떠먹는티라미수) 구매,제3군수지원여단,장가네제과
69965,'24년 추석 경축특식(훈제닭다리) 구매,제3군수지원여단,골든벨
69967,"'24-2차 경축특식 (추석,국군의 날)(커피, 가공우유)",육군제7789부대,이룸푸드
70022,전기튀김기 2EA 구매,해군작전사령부,세명종합공구
70028,스프러스 판재 등 2종 구매,제9911부대,나린
70041,[복지대대] ‘24-2차 병사식당 자율운영급식,공군 제8전투비행단,주식회사 야미푸드
70043,24-2차 경축특식 제조(냉동슈),제1군수지원사령부,(주)조이푸드
70044,24-2차 경축특식 제조(도넛),제1군수지원사령부,동광푸드
70045,24-2차 경축특식 제조(아이스 롤케익),제1군수지원사령부,주식회사 온세까세로
70046,24-2차 경축특식 다수품목 단가계약,제1군수지원사령부,주식회사 프라임푸드시스템
70047,24-2차 경축특식 제조(초코조각케익),제1군수지원사령부,영베이커리
70057,24-2차 경축특식 제조(냉동슈),제1군수지원사령부,(주)조이푸드
70058,24-2차 경축특식 제조(도넛),제1군수지원사령부,동광푸드
70059,24-2차 경축특식 제조(아이스 롤케익),제1군수지원사령부,주식회사 온세까세로
70060,24-2차 경축특식 다수품목 단가계약,제1군수지원사령부,주식회사 프라임푸드시스템
70061,24-2차 경축특식 제조(초코조각케익),제1군수지원사령부,영베이커리
70067,스프레이건 등 56종,공군군수사령부,더파란
70075,'24년 국군의 날 경축특식(냉동조각케이크) 제조,5군수지원사령부,(주)아인츠푸드
70076,'24년 추석 경축특식(마카롱) 제조,5군수지원사령부,주식회사비엠
70095,24-N-자동목재대패기 구매,국군재정관리단,대영
70128,'24년 000부대 소고기 등심 등 13품목,제9965부대,로아푸드
70129,'24년 경축특식(추석) 아이스모찌 제조/구매,제2군수지원여단,윤슬
70154,24년 병영도서관 및 독서카페 도서구매,제2군수지원여단,주식회사 제이텍
70180,'24년 경축특식(국군의 날) 조각케익 제조,제2군수지원여단,주식회사 온세까세로
70183,24년 9월 영내자증식(육포) 구매,육군제53보병사단,주식회사 늘본푸드
70199,24-D-전자동 GSR 주사전자현미경 구매,국군재정관리단,칼자이스 주식회사
70247,전투부식(김치날치알밥 등 13품목) 구매,제9해병여단,주식회사 탑티어로지스
70294,24-N-자동목재대패기 구매(248205-F),국군재정관리단,(주)수디자인
70326,슬라이스판 등 40종 구매,해군제2수리창,휴이
70360,24년 국군의날 경축특식(훈제닭다리) 제조/구매,육군훈련소,오뉴푸드
70361,24년 추석 경축특식(마카롱) 계약,육군훈련소,장가네제과
70412,씻어나온 쌀 등 11종 구매,제2002부대,썬앤문
70427,'24년 경축특식(추석·국군의날) 빵류 6품목 구매,제 2167부대,주식회사 와이즈
70444,'24년 경축특식(추석·국군의날) 훈제닭다리 구매,제 2167부대,해피브레드
