0,1,2,3,4,5,6,7,8,9,10
부대,창설,사업,통합,선반,제조,설치,,,,
부대,창설,사업,제조,설치,,,,,,
부대,창설,사업,제조,설치,,,,,,
학산,케이블카,엔진,교체,,,,,,,
박닥재,세트,,,,,,,,,
도로,안전,시설,설치,납품,,,,,,
컷터칼,,,,,,,,,,
여자,축구,운동,용품,축구공,유니폼,의료,재활용품,,,
정수,약품,구매,,,,,,,,
도서관,국외,간행물,구매,,,,,,,
심폐소생술,마네킹,응급처치,구매,,,,,,,
가폰,구매,,,,,,,,,
지휘,텐트,조기,세트,,,,,,,
복사,용지,구매,,,,,,,,
심정,모터,펌프,펌프,구매,,,,,,
부품,키트,걸쇠용,항목,제조,물자,,,,,
유한락스,품목,,,,,,,,,
비호,인터페이스,제어장치,정비,,,,,,,
수분,측정기,구매,,,,,,,,
고성능,액체,크로마토그래피,구매,,,,,,,
사업,병영,생활관,통합,선반,제조,설치,,,,
과학,출입,시스템,제조,설치,,,,,,
사업,핸드,네트워크,분석,구매,,,,,,
물류,취급,물자,자바라,컨베이어,구매,,,,,
보조,지주,피켓,제조,납품,,,,,,
윤형,철조망,구매,,,,,,,,
도서관,모델링,자재,조명기구,,,,,,,
사업,자재,출입통제,시스템,제조,설치,,,,,
깻잎,품목,,,,,,,,,
깻잎,품목,,,,,,,,,
항공,정비,실습,크레인,제조,설치,,,,,
수배,전반,분전,대대,통합,건물,신축,,,,
조명기구,제조,,,,,,,,,
출입통제,체계,구축,사업,통합,리스,,,,,
방탄,제조,,,,,,,,,
부대,잠수,장비,구매,,,,,,,
물류,취급,물자,핸드,카트,구매,,,,,
물류,취급,물자,테이,구매,,,,,,
물류,취급,물자,안전,계단,사다리,구매,,,,
물류,취급,물자,경량,구매,,,,,,
방송,설비,대대,통합,건물,신축,,,,,
마이크로웨이브,신시사이저,구매,,,,,,,,
자재,통합,배선,제조,설치,,,,,,
크롬,,,,,,,,,,
교환,키트,,,,,,,,,
박판,금속,,,,,,,,,
볼펜,,,,,,,,,,
런닝머신,구매,,,,,,,,,
계룡,구룡,체력,액화,석유,가스,구매,,,,
상용,차량,타이어,구매,설치,납품,,,,,
주머니,난로,보온,제조,납품,,,,,,
물자,취급,장비,테이,품목,,,,,,
대대,등기,납품,,,,,,,,
모바일,홍보,제작,장비,구매,납품,,,,,
부대,도로,안전,시설,설치,납품,,,,,
무선,아이,피스,구매,설치,납품,,,,,
동계,작전,대비,보온,구매,,,,,,
부대,중대,시설,수배,전반,제조,설치,,,,
철골,구매,,,,,,,,,
부대,합성수지,제창,합성수지,도어,제조,설치,,,,
해상,계류,제조,납품,,,,,,,
잉크,구매,,,,,,,,,
국군,교도소,침대,생산,자재,구매,포장,자재,,,
물자,취급,장비,구매,테이,,,,,,
물류,취급,물자,테이,구매,,,,,,
