개찰결과구분명,개찰시각,개찰일자,계약체결방법명,계약체결형태명,공고기관명,공고기관코드,기초금액,낙찰자결정방법명,낙찰하한율,수요기관명,수요기관코드,업무구분명,예정가격,입찰공고명,입찰공고번호,입찰공고차수,적격심사여부,최종낙찰금액,최종낙찰업체담당자명,최종낙찰업체대표자명,최종낙찰업체명,최종낙찰업체사업자등록번호,최종낙찰업체주소,최종낙찰율,최종낙찰일자,추정가격,분류
개찰완료,10:30,2016-03-31,제한경쟁,총액계약,국군재정관리단,ZD00303,105000000.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,103686760.00,항공유 펌프 3세트 구매,UMM0165,1,Y,91282125.00,임순택,문홍진,라바열융합기술,128-15-78848,경기도 파주시 탄현면 필승로506 (301호),88.036,2016-03-31,0.0,기타
개찰완료,10:30,2016-04-05,제한경쟁,총액계약,해군군수사령부,ZD00289,145700000.00,최저가격제,0.000,해군군수사령부,ZD00289,물품,142329898.00,OO함 함안정기 제어반 정비,SCF0040,1,N,102645600.00,이창균,이화섭,三晸하이테크,608-40-61980,경상남도 창원시 마산회원구 봉암공단6길 66(),72.118,2016-04-05,0.0,해군
유찰,11:00,2016-04-07,일반경쟁,총액계약,해군군수사령부,ZD00289,240700000.00,적격심사제,82.995,해군군수사령부,ZD00289,물품,,00함 지원장비(2종) 정비,SCF0039,1,Y,,,,,,,,,0.0,해군
유찰,10:30,2016-04-28,일반경쟁,총액계약,해군군수사령부,ZD00289,240700000.00,적격심사제,82.995,해군군수사령부,ZD00289,물품,,00함 지원장비(2종) 정비,SCF0039,2,Y,,,,,,,,,0.0,해군
개찰완료,11:00,2016-04-05,제한경쟁,총액계약,국군재정관리단,ZD00303,60000000.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,58910011.00,00단 병사식당 화물용승강기 제조설치,UMM0176,1,Y,51896590.00,김진권,김진권,주식회사고려에레베이터,130-81-44161,경기도 부천시 부천로409번길56(내동),88.094,2016-04-05,0.0,기타
개찰완료,14:00,2016-06-10,일반경쟁,총액계약,방위사업청,1690000,519121000.00,적격심사제,,방위사업청,1690000,물품,513093896.00,'16년 오리콘 사격통제장치 부품류 (제조),EGG0061,1,Y,460000000.00,박성태,박선순,주식회사 다원시스,134-81-29935,경기도 안산시 단원구 시화호수로485-0 (성곡동),89.652,2016-06-10,0.0,국방부직할
개찰완료,11:00,2016-04-07,제한경쟁,총액계약,국군재정관리단,ZD00303,57522500.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,57335313.00,체력단련장(골프장) 잔디 구매설치,UMM0174,1,Y,50468000.00,장정희,장정희,주식회사 부영상사,645-88-00344,경상남도 창원시 진해구 용원동로296-0 (용원동)102호,88.022,2016-04-07,0.0,기타
개찰완료,15:00,2016-06-03,일반경쟁,총액계약,방위사업청,1690000,434736000.00,적격심사제,,방위사업청,1690000,물품,432860361.00,궤도부품류(구매),EGF0107,1,Y,378211625.00,조재욱,조재욱,하이큐엔텍,608-20-78218,경상남도 창원시 마산회원구 봉암공단4길113-0 (봉암동),87.374,2016-06-03,0.0,국방부직할
개찰완료,11:00,2016-04-05,일반경쟁,총액계약,국군재정관리단,ZD00303,732666000.00,적격심사제,85.495,국군재정관리단,ZD00303,용역,715988609.00,'16년 6.25 전자사 유가족 유전자검사 위탁용역,UMM0177,1,Y,621450300.00,박병주,박병주,(주)한국유전자정보연구원,107-87-31178,"서울특별시 강서구 양천로551-17 (가양동, 한화비즈메트로1차)",86.796,2016-04-05,0.0,기타
개찰완료,11:00,2016-04-05,일반경쟁,총액계약,국군재정관리단,ZD00303,987311000.00,적격심사제,82.995,국군재정관리단,ZD00303,물품,974634128.00,16년 해병대 지휘소 비디오월 교체사업(리스물건),UMM0178,1,Y,809032400.00,이동휘,이상혁,(주)데스코,124-81-06672,"서울특별시 구로구 디지털로34길43-0 (구로동, 코오롱싸이언스밸리1차)",83.008,2016-04-05,0.0,기타
개찰완료,13:00,2016-04-15,협상에의한계약(서류),총액계약,공군 제8전투비행단,ZD00185,,협상,,공군 제8전투비행단,ZD00185,용역,30000000.00,공군 전술항공통제단 홍보영상 제작,HDF0011,1,N,28800000.00,,이충렬,버프프로덕션,211-08-14702,서울특별시 강남구 학동로311(논현동) 타호비지니스센터 203호,96.000,2016-06-10,0.0,공군
개찰완료,13:00,2016-04-27,일반경쟁,총액계약,방위사업청,1690000,237237000.00,적격심사제,,방위사업청,1690000,물품,234318385.00,공수훈련지상장비,EHD0031,1,Y,203520878.00,송종환,송종환,주식회사 킴블스,577-87-00286,서울특별시 강서구 국회대로7길63-0 (화곡동),86.856,2016-04-27,0.0,국방부직할
개찰완료,10:30,2016-04-08,제한경쟁,총액계약,육군군수사령부,1290307,86170710.00,적격심사제,87.995,육군군수사령부,1290307,물품,84365234.00,브레이크 슈 세트 등 2항목 제조(기장),LCF0095,1,Y,74474000.00,문종성,박영규,주식회사 금탑,107-87-63141,서울특별시 영등포구 문래동4가12-25번지,88.275,2016-04-08,0.0,육군
개찰완료,10:30,2016-04-08,제한경쟁,총액계약,육군군수사령부,1290307,85007636.00,적격심사제,87.995,육군군수사령부,1290307,물품,83211424.00,베어링 클러치 릴리이스용 등 16항목 구매(기장),LCF0096,1,Y,73580000.00,김민규,손봉갑,주식회사 보성기업,347-86-00126,"경기도 양주시 백석읍 월암로114, 홍죽리 467-8",88.425,2016-04-08,0.0,육군
개찰완료,10:30,2016-04-08,제한경쟁,총액계약,육군군수사령부,1290307,81125308.00,적격심사제,87.995,육군군수사령부,1290307,물품,79241004.00,연결기 조립체 전기용 등 46항목 제조(기장),LCF0097,1,Y,70234000.00,김태원,김태원,주식회사 씨알테크,793-86-00111,"경기도 화성시 양감면 송말길8-7 , C동",88.633,2016-04-08,0.0,육군
개찰완료,10:30,2016-04-08,제한경쟁,총액계약,육군군수사령부,1290307,53760469.00,적격심사제,87.995,육군군수사령부,1290307,물품,53011017.00,호스 비금속제 등 60항목 구매(기장),LCF0098,1,Y,46718920.00,송하봉,하영임,주식회사 에코비투,110-86-05795,"경기도 고양시 덕양구 삼원로73, 721호(원흥동, 원흥한일윈스타)",88.130,2016-04-08,0.0,육군
개찰완료,10:30,2016-04-08,제한경쟁,총액계약,육군군수사령부,1290307,63714186.00,적격심사제,87.995,육군군수사령부,1290307,물품,62630503.00,호스 조립체 비금속제 등 53항목 제조(기장),LCF0099,1,Y,55160000.00,김태원,김태원,주식회사 씨알테크,793-86-00111,"경기도 화성시 양감면 송말길8-7 , C동",88.072,2016-04-08,0.0,육군
개찰완료,11:00,2016-04-06,제한경쟁,총액계약,제5738부대,ZD00158,1293000.00,최저가격제,0.000,제5738부대,ZD00158,물품,1277931.00,알루미늄 접이식 원형탁자 등 3종,SDF0039,1,N,1221000.00,이미숙,이미숙,드림오피스,506-13-80822,경상북도 포항시 남구 동해안로 5934(),95.545,2016-04-06,0.0,해군
유찰,15:30,2016-04-20,수의계약,총액계약,방위사업청,1690000,388413000.00,적격심사제,,방위사업청,1690000,물품,,보온식관,EHD0024,1,Y,,,,,,,,,0.0,국방부직할
유찰,17:30,2016-04-28,수의계약,총액계약,방위사업청,1690000,388413000.00,적격심사제,,방위사업청,1690000,물품,,보온식관,EHD0024,2,Y,,,,,,,,,0.0,국방부직할
개찰완료,13:30,2016-04-12,제한경쟁,총액계약,해군제2수리창,ZD00986,3760000.00,최저가격제,0.000,해군제2수리창,ZD00986,물품,3739172.00,301캇타 등 183종,SDQ0014,1,N,3018000.00,연미경,연수정,나임상사,663-54-00099,"경기도 이천시 설봉로81-0, 101호(관고동)",80.713,2016-04-12,0.0,해군
개찰완료,11:00,2016-04-21,제한경쟁,총액계약,국군재정관리단,ZD00303,159463000.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,156183920.00,폭발물처리차 제조,UMM0206,2,Y,154500000.00,김동근,김동근,세화자동차 주식회사,143-81-00742,경기도 화성시 남양읍 현대기아로183번길11-33,98.921,2016-04-21,0.0,기타
개찰완료,10:30,2016-04-15,제한경쟁,총액계약,제3283부대,ZD00157,7678640.00,최저가격제,0.000,제3283부대,ZD00157,물품,7668734.00,라벨테이프 등 149품목 구매,SFL0050,1,N,6258000.00,김순선,김순선,포항케이피엘(KPL),506-09-81810,경상북도 포항시 북구 중앙로245번길 7(),81.604,2016-04-15,0.0,육군
개찰완료,11:00,2016-04-12,일반경쟁,총액계약,공군군수사령부,ZD00306,13856000.00,최저가격제,0.000,공군군수사령부,ZD00306,물품,13772273.00,희석제  랙커 페인트 등 17종,HCF0004,1,N,12454930.00,안가영,안가영,지와이테크놀리지,514-22-43155,대구광역시 달서구 와룡로45길10-14 (죽전동),90.434,2016-04-12,0.0,공군
