,입찰공고명,공고기관명
354,00부대(6진) 민사반 물품 구매(3차),제7789부대
355,00부대(6진) 민사반 물품 구매(4차),제7789부대
362,방사선필름 등 5종 구매,국군재정관리단
363,종이걸레 등 2종 구매,국군재정관리단
366,기능성팬티 등 9종 구매,특수전사령부
367,차아염소산나트륨 등 5항목 구매(물자),육군군수사령부
368,16년 장교후보생 증식 구매,육군학생군사학교
369,16년 장교후보생 증식 구매,육군학생군사학교
370,오일휀스 8항목 제조(물자),육군군수사령부
371,잔류염소측정시약 등 5항목 구매(물자),육군군수사령부
372,멀티 누설탐지기 구매,국군재정관리단
374,토너구매( 연간 단가계약),국방부근무지원단
375,휴대폰 카드형 보조배터리 2 000개,해군본부
376,16-덕-1차 전산운영용품 구매,국군재정관리단
377,포장박스 등 3종 제조구매,국군재정관리단
378,전기보온물통 등 12종 구매,국군재정관리단
379,점화플러그 등 10항목 구매(물품),육군군수사령부
380,점화플러그 등 10항목 구매(물품),육군군수사령부
381,국방 빅데이터 플랫폼 기반 구축사업 리스,국방통합데이터센터
382,16-F-007 이동형 탱크제조 납품,국군재정관리단
383,16-F-007 이동형 탱크제조 납품,국군재정관리단
385,리프레쉬플러스 점안액 등 270종,제9181부대
386,16-F-011 트랙터 레커용 트럭 제조,국군재정관리단
412,16년 설날 경축특식 구매(제조),제7789부대
413,16년 설날 경축특식 구매(제조),제7789부대
414,체력단련장 식자재 000종 구매,육군인사사령부
415,교과서 136종 구매,국군재정관리단
416,난방용 LPG 납품(백령도),제9196부대
417,액화석유가스(LPG)구매,제9691부대
420,컨테이너 제작,제3170부대
421,파이류,제5378부대
433,16-F-010열화상 비파괴검사 장비 구매,국군재정관리단
444,16-K-액화석유가스(LPG),제9181부대
449,K1전차 스프링등11종구매,제2879부대
450,16-F-012 열화상카메라 구매,국군재정관리단
451,체력단련장 락카 소모품 구매,육군인사사령부
452,에이스가든 식자재(생가지외 365품목),공군제17전투비행단
453,K1리드선등14종구매,제2879부대
454,금속제 정류기 구매,국군재정관리단
455,k1오링등17종구매,제2879부대
456,주파수 변환기 구매,국군재정관리단
457,M48전차 나사등32종구매,제2879부대
458,M48전차 베어링등11종구매,제2879부대
459,K55A1개스킷등3종구매,제2879부대
460,K55A1개스킷등3종구매,제2879부대
461,K55A1베어링등9종구매,제2879부대
462,K55A1너트등37종구매,제2879부대
463,K9오링등59종구매,제2879부대
464,K9스프링등8종구매,제2879부대
465,K9나사등76종구매,제2879부대
466,K9밸브등19종구매,제2879부대
467,K9밸브등19종구매,제2879부대
468,리본부교 봉합재등42종구매,제2879부대
469,5톤 볼트등217종구매,제2879부대
470,5톤브래킷등64종구매,제2879부대
471,2 1/2톤 니플등62종구매,제2879부대
472,무선감청장비 축전기등178종구매,제2879부대
473,설날 경축특식 냉동떡 세트,제5378부대
474,설날 경축특식 냉동떡 세트,제5378부대
475,00학교 생도증식 구매,국군간호사관학교
476,열상장비 스페이서등11종구매,제2879부대
477,대박격포레이더 반도체장치등4종구매,제2879부대
478,발칸필터구매,제2879부대
479,발칸와셔총류등121종구매,제2879부대
480,(육성) 사단 테블릿PC 구매,제32보병사단
492,선봉대체력단련장 유류구매(하이신유),제7821부대
498,에이드,제5378부대
503,발칸 베어링등15종구매,제2879부대
504,발칸 기어등14종구매,제2879부대
505,발칸 베이스조립체등7종구매,제2879부대
509,발칸 장치대등6종구매,제2879부대
510,알루미늄 합금판 등 11품목 ,해군제1정비대대
511,가지 등 163종,제9181부대
513,16년 설 경축특식 떡세트(제조 또는 구매),제2167부대
522,16-00대학 연간 도서구매,합동군사대학교
523,면마스크 등 2품목 구매,제3283부대
524,충성대 신문제작제157호~제162호),육군3사관학교
526,모듬두텁떡 등 6종 제조,제3170부대
527,모듬두텁떡 등 6종 제조,제3170부대
530,근속30주년 보관용 휘장 등 4품목 제조,제9691부대
532,크린 자연락스 등 35품목,제9196부대
533,크린 자연락스 등 35품목,제9196부대
547,전기이발기 등 2종 구매,국군재정관리단
552,방수포장백류,방위사업청
553,방수포장백류,방위사업청
554,방수포장백류,방위사업청
555,계룡대 해미르 어린이집 교구교재 구매,국군재정관리단
556,세제 세탁용 등 2항목 구매(물자),육군군수사령부
557,제도지 등 2항목 구매(물자),육군군수사령부
558,제도지 등 2항목 구매(물자),육군군수사령부
560,시추공 매몰방지용 자재(PVC) 제조구매,육군본부
561,16년 포구초속측정레이다,방위사업청
562,중파송신기 유지보수 정비,해군군수사령부
