,입찰명,발주기관
10623,스모크햄 등 9종 구매,제9911부대
11638,쌀과자(인절미맛) 구매,제3170부대
11718,국군의날 경축특식 빵세트,제1군수지원사령부
11881,빵류 등 7품목,제9181부대
11924,프레스햄 통조림 등 20종,해군 기동함대사령부
11927,프레스햄 통조림 등 20종,해군 기동함대사령부
12180,콩나물,급식유류계약팀
12330,충전 햄머드릴 등 6항목 구매(물자),육군군수사령부
12631,콩나물,급식유류계약팀
13904,혼합프레스햄 547캔 구매,제9911부대
14340,햄,급식유류계약팀
14342,햄슬라이스,급식유류계약팀
14457,시리얼(쌀맛후레이크),급식유류계약팀
14573,생선묵(떡볶이용),급식유류계약팀
14574,생선묵(떡볶이용),급식유류계약팀
14575,생선묵(떡볶이용),급식유류계약팀
14576,생선묵(떡볶이용),급식유류계약팀
14577,생선묵(튀김용),급식유류계약팀
14578,생선묵(튀김용),급식유류계약팀
14579,생선묵(튀김용),급식유류계약팀
14580,생선묵(튀김용),급식유류계약팀
14582,볶은참깨,급식유류계약팀
14638,햄슬라이스,급식유류계약팀
14639,햄슬라이스,급식유류계약팀
14640,햄,급식유류계약팀
14641,햄,급식유류계약팀
14642,햄,급식유류계약팀
14654,핫도그빵,급식유류계약팀
14655,핫도그빵,급식유류계약팀
14656,핫도그빵,급식유류계약팀
14657,핫도그빵,급식유류계약팀
14658,햄버거빵(2형),급식유류계약팀
14659,햄버거빵(2형),급식유류계약팀
14660,햄버거빵(2형),급식유류계약팀
14661,햄버거빵(2형),급식유류계약팀
14692,들깨가루,급식유류계약팀
14822,닭고기 등 18종,제7001부대
14869,치킨넷(닭망) 구매,제9181부대
15070,떡국떡,급식유류계약팀
15071,떡볶이떡,급식유류계약팀
15370,'17년 증식용 떡 및 케이크 구매,제1862부대
15371,'17년 증식용 떡 및 케이크 구매,제1862부대
15422,물엿,급식유류계약팀
15464,즉석쌀국수,급식유류계약팀
15465,즉석쌀국수,급식유류계약팀
15466,즉석쌀국수,급식유류계약팀
15467,즉석쌀국수,급식유류계약팀
15599,건빵,급식유류계약팀
15600,건빵,급식유류계약팀
15601,건빵,급식유류계약팀
15602,건빵,급식유류계약팀
15674,사각어묵 등 12종 구매,제9911부대
15768,"17년 영내자 증식(떡, 케이크) 구매",수도방위사령부
15770,"17년 영내자 증식(떡, 케이크) 구매",수도방위사령부
15957,취사기구 만두찜기 등 43종,제7001부대
16356,17년 특수근무자증식(소보루빵),제2167부대
16478,햄버거패티 등 7종 구매,제9911부대
16487,재공고-콩나물 구매(경북권),5군수지원사령부
16493,밥공기 등 0종 구매,국방부근무지원단
16558,콩나물(제조) 구매,제7789부대
16825,슈크림빵,제7789부대
16972,17-백령도 빵류 구매,제9196부대
16973,17년 특수근무자 증식(크림빵),제2167부대
16974,중소기업간경쟁계약-17년 부대조달 후식(쌀음료),제2167부대
17112,컵밥,제7789부대
17148,소기업/소상공인 부대조달증식(용기어묵) 구매 계약,5군수지원사령부
17149,소기업/소상공인 부대조달증식(어묵바) 구매 계약,5군수지원사령부
17217,면떡 등 59종 구매,제8385부대
17335,17년 특수근무자 증식(어묵바),제2167부대
17336,17년 특수근무자 증식(어묵탕),제2167부대
17338,17년 특수근무자 증식(쌀떡볶이),제2167부대
17340,17년 특수근무자 증식(피자빵),제2167부대
17343,17년 기초훈련장병 증식(쌀떡볶이),제2167부대
17345,17년 기초훈련장병 증식(크림빵),제2167부대
17346,중소기업간경쟁-17년 기초훈련장병 증식(피자빵),제2167부대
17368,영내자 증식 떡 및 생일자 쌀 케익크 제조납품,제3697부대
17381,중기간-부대조달증식(짜장컵밥) 구매 계약,5군수지원사령부
17382,중기간-부대조달증식(쌀떡볶이) 구매 계약,5군수지원사령부
17385,중기간-부대조달증식(크림빵) 구매 계약,5군수지원사령부
17386,중기간-부대조달증식(피자빵) 구매 계약,5군수지원사령부
17387,중기간-부대조달증식(소시지빵) 구매 계약,5군수지원사령부
17405,"축,어깨형 등 22항목 제조(생산능력,총포)",육군군수사령부
17439,콩나물 등 3종(연평도),연평부대
17500,17년 영내자용 떡 및 케이크 구매,제15보병사단
17514,쌀 햄버거빵 등 38종 구매(연평도),연평부대
17566,17년 영내자 증식용 떡 제조납품,제2236부대
17585,17년 생일자 떡 케이크 제조납품,제2236부대
17590,어묵(용기),제1군수지원사령부
17647,꿀호떡,제1군수지원사령부
17691,콩두유,제1군수지원사령부
17745,소보루빵,제1군수지원사령부
17813,빵류 등 10종,제9181부대
17822,17년 설날 경축특식 빵세트 구매,5군수지원사령부
17834,닭고기 등 12종,제7001부대
18017,식빵 등 16품목,해군 기동함대사령부
19682,참깨건빵,급식유류계약팀
19704,야채건빵,급식유류계약팀
19705,야채건빵,급식유류계약팀
19706,야채건빵,급식유류계약팀
19707,야채건빵,급식유류계약팀
19708,참깨건빵,급식유류계약팀
19709,참깨건빵,급식유류계약팀
19710,참깨건빵,급식유류계약팀
19956,쌀과자류 구매,제9181부대
20067,사각어묵 등 15종 구매,제9911부대
20155,'18년 영내자 증식용 떡 제조 납품,제1729부대
20156,'18년 영내자 증식용 떡 제조 납품,제1729부대
20694,18년 추석경축특식(훈제닭다리)구매,제2167부대
21289,로타리 햄머드릴 등 24종,해군제2수리창
21303,"18년 광복절 경축특식 빵세트(조각케익,냉동케익)",제2군수지원여단
21338,광복절 경축특식 빵세트,제3군수지원여단
21611,"18년 제헌절 경축특식 빵세트(조각케익, 냉동케익)",제2군수지원여단
21920,떡볶이떡,급식유류계약팀
21924,떡국떡,급식유류계약팀
22157,"축,어깨형 등 76항목 제조(자주포)",육군군수사령부
22207,통닭박스(1마리용) 등 9종,해군군수사령부
22517,"축,어깨형 1종",해군군수사령부
22523,18년 증식용 떡 및 케이크 구매,제1862부대
22720,햄슬라이스(경쟁),급식유류계약팀
22993,물엿,급식유류계약팀
23229,전기 통닭구이기 등 2종 구매,해군군수사령부
23267,햄슬라이스(경쟁),급식유류계약팀
23268,햄슬라이스(경쟁),급식유류계약팀
23269,햄슬라이스(경쟁),급식유류계약팀
23317,건빵,급식유류계약팀
23318,건빵,급식유류계약팀
23319,건빵,급식유류계약팀
23320,건빵,급식유류계약팀
23376,시리얼(쌀맛후레이크),급식유류계약팀
23440,"볼트, 리브어깨형",일반장비계약팀 (구:19.09.16)
23707,햄,급식유류계약팀
23708,햄,급식유류계약팀
23709,햄,급식유류계약팀
23710,햄,급식유류계약팀
23755,즉석쌀국수(멸치맛),급식유류계약팀
23758,즉석쌀국수(사골맛),급식유류계약팀
23759,즉석쌀국수(사골맛),급식유류계약팀
23760,즉석쌀국수(사골맛),급식유류계약팀
23761,즉석쌀국수(사골맛),급식유류계약팀
23762,즉석쌀국수(멸치맛),급식유류계약팀
23763,즉석쌀국수(멸치맛),급식유류계약팀
23764,즉석쌀국수(멸치맛),급식유류계약팀
23771,햄버거빵(2형),급식유류계약팀
23772,핫도그빵,급식유류계약팀
23773,핫도그빵,급식유류계약팀
23774,핫도그빵,급식유류계약팀
23775,핫도그빵,급식유류계약팀
23776,햄버거빵(2형),급식유류계약팀
23777,햄버거빵(2형),급식유류계약팀
23778,햄버거빵(2형),급식유류계약팀
23810,볶은참깨,급식유류계약팀
23916,콩나물,급식유류계약팀
23917,콩나물,급식유류계약팀
23918,콩나물,급식유류계약팀
23919,콩나물,급식유류계약팀
24000,프레스햄 통조림 등 13종,해군 기동함대사령부
24108,'18년 영내자 떡급식 제조/구매,제55보병사단
24207,생선묵(튀김),급식유류계약팀
24208,생선묵(떡볶이용),급식유류계약팀
24209,생선묵(떡볶이용),급식유류계약팀
24210,생선묵(떡볶이용),급식유류계약팀
24211,생선묵(떡볶이용),급식유류계약팀
24212,생선묵(튀김),급식유류계약팀
24213,생선묵(튀김),급식유류계약팀
24214,생선묵(튀김),급식유류계약팀
24724,18년 영내자 증식(떡) 연간 구매,공군교육사령부
24757,꿀호떡,제1군수지원사령부
24881,즉석오뎅(용기어묵),제2군수지원여단
24928,용기어묵,제1군수지원사령부
24988,18년 특근자 증식(피자빵),제2167부대
25159,컵밥,제2군수지원여단
25165,즉석식품류(컵밥),제7789부대
25404,컵밥,제3군수지원여단
25435,18년 영내자 증식(떡/케이크) 구매,육군사관학교
25436,18년 영내자 증식(떡/케이크) 구매,육군사관학교
25590,냉온찜질팩 등 87종,제5738부대
25594,부대조달증식(소시지빵) 구매,5군수지원사령부
25595,부대조달증식(용기어묵) 구매,5군수지원사령부
25596,부대조달증식(피자빵) 구매,5군수지원사령부
25597,부대조달증식(크림빵) 구매,5군수지원사령부
25753,18년 특근자증식(어묵탕),제2167부대
25755,18년 특근자증식(쌀떡볶이),제2167부대
25757,18년 특근자증식(크림빵),제2167부대
25758,18년 신병증식(어묵바),제2167부대
25762,18년 신병증식(피자빵),제2167부대
25855,부대조달증식(짜장컵밥) 구매,5군수지원사령부
25856,부대조달증식(쌀떡볶이) 구매,5군수지원사령부
25882,냉찜질기 등 20항목 구매(물품),육군군수사령부
25952,'18년 영내자용 떡 및 케이크 구매,제1288부대
