,입찰명,발주기관,낙찰자(상호)
1253,1891부대 부대조달 회의용테이블 구매,제1891부대,대성기업
1257,바코드라벨 등 3종 구매,육군본부,한스테크
1261,프레임 그래버 3EA 구매,제9911부대,피엠코리아
1264,왕벚나무 등 4종 구매,제7001부대,주식회사 메리트리
1268,블루패널 1EA 구매,제8385부대,TNI-BANK
1277,대테러 흑복 야전상의 등 4종 구매,제7001부대,대광산업
1279,00부대 전자칠판 구매,제1363부대,딥스원테크(주)
1281,결재판 등 86품목,해군제1수리창,알파동해점
1283,훈련병 개인지급품 3종 구매,육군훈련소,케이에스지
1285,판금망치 등 166종,제9227부대,다온종합상사
1286,군용 리포트 화일 등 65종,제9227부대,연천종합물산
1287,양지다이어리 등 37종,제9227부대,에이스컴퍼니
1292,다이아프램 등 8종,해군제2수리창,인화정공
1293,장교동행사복 등 19종,해군군수사령부,(주)성한상사
1299,파병티셔츠 등 30종,해군작전사령부,(주) 대원이노스
1303,00부대 직할부대 안전휀스 설치납품(3개소),육군 제1군단,성진 주식회사
1304,회전노즐 등 146종 구매,육군종합정비창,에스와이테크
1313,회로카드시험기 등 1종 구매,육군종합정비창,인코어테크놀로지(주)
1327,컷팅안전 방안자 등 155종,해군본부,계룡상사
1330,무전극 안정기 외 3종 (16-123),공군제38전투비행전대,제이&제이상사
1337,방안자 등 418종 구매,제9911부대,이레
1338,가위 등 76종 구매,제9911부대,윤영
1345,야자매트 등 8종 구매(연평도),연평부대,신비코리아
1348,에어프레스건 등 26종 구매,제9911부대,동명이앤엘
1356,인덱스 탭 등 52종,해군본부,계룡상사
1357,이동형 GPS 중계기 구매,공군제19전투비행단,(주)트리콤미디어
1368,재난구조 보호물자(공기호흡기세트 등 3종) 구매,국군재정관리단,주식회사 하이브시스템
1372,스피드게이트 등 0종 설치납품,국방부근무지원단,(주)혜성정보통신
1374,레자원단 구매,제3170부대,아윤상사
1375,데크브러쉬 등 18종 구매,제9911부대,조인
1377,염화칼슘 225포 구매,제9911부대,비드하이
1380,Y자 주주 등 34종,해군작전사령부,한국해양수조공사
1381,자석고리 등 90종,해군작전사령부,오피스타운서부산점
1386,신문걸이 등 349종 구매,제9911부대,케이엔피 트레이드
1388,셔터형자물쇠 등 4종 구매,제3170부대,에이스컴퍼니
1389,방충망 구매,제3170부대,주식회사 이앤아이
1390,클램프 등 3종 구매,제3170부대,덕만오피스
1411,랜턴 등 23종,해군작전사령부,참조은
1414,EOD 킷 등 7종,해군작전사령부,대광산업
1415,쿨토시 등 10종,해군작전사령부,한길
1418,결재판 등 501종 구매,제9911부대,경원산업
1420,종이컵 등 126종 구매,제2002부대,더불어유통
1423,개스킷 등 4종,해군군수사령부,우일정공
1431,제청도장기 방폭등 등 35종 구매,육군종합정비창,에스와이테크
1443,농구부 운동용품 구매(농구화 등 9품목),국군체육부대,주식회사 이음
1444,H지역 셔터 설치납품,육군항공사령부,누리조경건설주식회사
1446,전동 견인차(TONGUE LIFT TRAC) 1종 2점 구매,공군군수사령부,하나산업
1449,이동식 온풍기 등 2종 구매,제9911부대,주식회사 성진이엔디
1452,종이페이퍼 등 175종,해군교육사령부,한빛티엠
1454,무선프리젠터 등 103종,해군교육사령부,다림테크
1455,버프(멀티캠) 등 8종 구매,제8385부대,제이투산업
1458,무릅보호대 등 2종 구매,제8385부대,다모아상사
1459,전기렌지 2EA 구매 설치,제8385부대,KM
1461,리무버 등 812종 구매,제8385부대,금성종합상사
1462,대형거울 1EA 구매,해군교육사령부,효원
1464,광 슬리브 등 108종,제9181부대,동명이앤엘
1466,축구공 등 680종 구매,해군제3함대사령부,(유)목포신도digitalOA
1468,표면오염도검사기 3EA,해군군수사령부,한스메디칼
1476,호스등40종구매,육군종합정비창,월드테크
1489,방독마스크 등 381종,제5738부대,금오아이엔씨
1492,동시통역기 구매,제7821부대,주식회사 디씨앤미디어
1494,"물자 정비재료(피복, 개인장구) 구매",제1군수지원사령부,네이쳐 에프에스
1495,브레이드(영관용) 1항목 구매(물자),육군군수사령부,주식회사 흥선
1499,스케일억제제 등 105종 구매,제3170부대,일월종합상사
1504,강압기 등 24종 구매,제8385부대,비시루상사
1507,복합기 등 5종,해군작전사령부,백산
1512,안정기 등 35종 구매,해군제3함대사령부,(유)목포신도digitalOA
1514,세루모다 등 237품목 구매,제9해병여단,하이로드
1516,안정기 등 35종 구매,해군제3함대사령부,(유)목포신도digitalOA
1517,제빙기 등 2종 구매,제9911부대,태영통상
1523,16년 후반기 사진재료(인화지) 2종 구매,국군지휘통신사령부,명지사
1533,유압액 등 3종 구매,제3170부대,서진산업
1535,패용증 등 24품목 구매,제3283부대,중앙종합상사
1538,수동랩핑기 등 3종 구매,제3170부대,동부테크
1539,격투봉 등 3품목 구매,제3283부대,더팜
1541,예초기 등 5품목 구매,제3283부대,동부테크
1542,천정 빨래 건조대 등 2종(16-277),공군제1전투비행단,두일하이텍
1544,양극 1종,해군군수사령부,강원상사
1545,파워헤드어셈블러 1종,해군군수사령부,위너원
1546,개스킷 및 시일 세트 등 9종,해군군수사령부,미래상사
1550,정악대금 등 7종,해군교육사령부,피앤에스
1552,물티슈 등 17품목 구매,제3283부대,더팜
1553,상황판 등 10종,제55보병사단,무한씨엔씨
1554,접이식 바둑판 등 3종,제9227부대,삼 윤 사
1560,하이브리드키폰(세트) 구매,공군제15특수임무비행단,주식회사 누리아이코리아
1561,종이 쇼핑백(소) 등 2종,제9227부대,동아유통
1566,물티슈  등 444종,해군작전사령부,동아스포츠
1567,주소용라벨 등 252종 구매,해군사관학교,주식회사 제이엠텔레콤
1568,예비군훈련용 귀마개(200조) 구매,육군본부,비테크코리아 주식회사
1572,16년 4/4분기 병영훈련용품 구매,육군학생군사학교,비전과학LP
1573,16년 학군후보생 행군용 실습재료 구매,육군학생군사학교,에이치앤주식회사
1575,스캐너 등 170품목,제9196부대,무한씨엔씨
1576,스캐너 등 170품목,제9196부대,무한씨엔씨
1580,"항-16-058, 063 나졸액 등 95품목",공군사관학교,온케어메디홀주식회사
1583,전자식체중계 등 6종 구매,제9911부대,국제안보상사
1586,벽거울 등 33종 구매,제9911부대,에스더 기획
1587,열쇠보관함 40P 등 20종,제9227부대,미니비니유통
1591,일체형복합기 등 9종 구매,제8385부대,강원상사
1593,"개조키트,선박 금구류 및 선체품목용 등 14종",해군군수사령부,(주)케이티비에스
1597,줄자 등 116종 구매,제9911부대,(TS)산업
1600,제침기 등 78종,해군본부,현대상사
1601,전기배선 등 14종 구매(연평도),연평부대,e-수진테크
1608,튜브등28종구매,육군종합정비창,(주)세계하이테크
1609,인서트팁등272종구매,육군종합정비창,운산상사
1611,16-해-반면형 면체 등 89종 구매,국군재정관리단,원유통
1622,CLT-K508L(검정) 등 20항목 구매(물자),육군군수사령부,디와이솔루션
1623,이지넷 유비쿼터스 등 4항목 구매(물자),육군군수사령부,디와이솔루션
1628,볼수거기 등 2품목,제9691부대,불토스
1629,마그네트론 구매,제2002부대,희망플러스
1633,등산화 등 9종,제9181부대,주식회사 유니케이
1635,대형 선풍기 등 00종 구매,육군항공사령부,주식회사 서진컨설팅
1636,육군 비행복(디지털무늬),물자계약팀,주식회사 동곡
1637,00지역  UPS 교체,국군재정관리단,현대파워시스템 주식회사
1648,블랙박스 등 2종 구매,제8385부대,(주)동건
1664,오리콘 고정기등8종구매,육군종합정비창,주식회사 비케이반도체
1665,발칸캠구매,육군종합정비창,모던테크
1677,"루프, 끈 조임용 등 6종 구매",국군재정관리단,우영상사
1683,빈트소켓 자석형 등 250종 구매,제5738부대,제이에스탑
1690,세탁소 대형 스팀건조기 설치 납품,육군사관학교,미소커뮤니케이션
1691,강화도어 손잡이 등 78종 구매,제3170부대,승재유통
1692,공마대 등 29종 구매,제8385부대,스틸파크 강원토탈
1694,스텐밧트 6종 구매,제8385부대,주식회사 유니엠케이
1705,터치락 줄자 등 426종 구매,제7001부대,한성
1706,베루말액 등 156종 구매,제7001부대,티엠이바이오 주식회사
1711,조종사용 선글라스(개선3-1형),공군군수사령부,주식회사 우성씨텍
1715,탄약고 화재기호판 구매납품,제1989부대,태백
1722,LM가이드 등 18종,해군제2수리창,세일상사
1726,(조달)3훈비 트랙터 1품목(16-4-262)구매,제3훈련비행단,전일종합상사
1727,00부대 방열기교체 사급자재 구매,제1288부대,영동상사
1728,사물함 등 4종,해군작전사령부,효원
1729,목시딜 액 등 75종,해군작전사령부,티엠이바이오 주식회사
1732,금전출납부 등 202종,해군본부,계룡상사
1734,방탄복 등 2품목 구매,제3283부대,주식회사 세영산업개발
1747,레포트화일 등 182종,해군교육사령부,한길
1748,국자 등 7종 구매,제3170부대,에이스컴퍼니
1749,소프트 그립가위 등 75종,해군본부,현대상사
1751,샤프 등 62종,해군본부,대성안전산업
1753,화물투하낭 등 2품목 구매,제3283부대,주식회사 해피코리아
1755,화물투하낭 등 2품목 구매,제3283부대,주식회사 해피코리아
1756,백업링 등 68종,해군제2수리창,지니종합상사
1758,간극판 등 295종,해군제2수리창,지니종합상사
1765,군견(비작전견) 사료 구매,공군교육사령부,주식회사 서진컨설팅
1777,공기정화기 등 6종 구매,해군제3함대사령부,에이스철물건자재주식회사
1779,플라스틱링 등 444종,해군작전사령부,기룡아이엔씨
1780,고압세척기 등 2종,해군 기동함대사령부,모양방시스템
1783,3ch블랙박스 12개 구매설치,해군작전사령부,골드스팅상사
1785,포스트 잇 등 190종 구매,제2002부대,하우투
1787,"냉,난방기 1종",해군군수사령부,월드정보통신
1788,CNC 프로그램 및 입력기,해군군수사령부,이스트트레이딩
1789,오구멘틴정 등 41종 구매,제2002부대,티엠이바이오 주식회사
1790,(재투자) 군수처 탄약고 화재기호판(164개) 구매,제2632부대,엠에스전기 주식회사
1792,블랙박스 등 2종 납품 설치,해군교육사령부,다림테크
1795,황사마스크 등 4품목 구매,제3283부대,한국산업
1799,연질 CD케이스 등 46종,해군교육사령부,참조은
1803,스팀감압변 등 6종,해군제2수리창,세일상사
1805,16년 후반기 통신운영용품 구매,제9965부대,주식회사 에이그램
1806,무기진공 포장재료 구매,제51보병사단,유진시스템
1809,절단용글라인드등28종구매,육군종합정비창,보우상사
1811,면봉등173종구매,육군종합정비창,알티하이텍
1813,접착제등36종구매,육군종합정비창,주식회사 에이그램
1814,알칼리세척제등12종구매,육군종합정비창,주식회사 에이그램
1817,헤드랜턴 등 2품목,제9196부대,범원실업
1819,특전사 고공헬멧 등 3항목 구매(물자),육군군수사령부,주식회사 부영상사
1822,다용도 만능 집게 등 385종,해군교육사령부,기룡아이엔씨
1823,오피스 연필 등 152종,해군교육사령부,찰스인코리아
1824,파워벨트 구매,제3170부대,신영상사
1825,고임목 등 2종 구매,제3170부대,아윤상사
1827,레보카신 등 38종,해군 기동함대사령부,(주)석호약품
1830,피드백 포텐션미터 14SE,해군군수사령부,미래상사
1834,궤도형 도자 구매,공군제11전투비행단,주식회사 수산씨에스엠
1849,수동 주행용 상하차 컨베이어 벨트 신규제작,해군 기동함대사령부,비전과학LP
1851,낫 등 13종 구매,제3170부대,세방에이치에스
1852,태극기 등 4종 제작,제3170부대,주식회사 삼국트레이딩
1855,지우개 등 210종,해군교육사령부,신영물류
1860,AL벽걸이 구급함 등 348종,해군군수사령부,산너울산업
1861,"알곤,공업용 등 5종",해군군수사령부,주식회사 우진가스텍
1877,테크트럭 등 659종,제5738부대,영진상사
1882,민군 및 민사물자(각재 등 00종) 구매,제7789부대,금호전기조명(주)
1887,16-238 스포츠쌕 등 4종,공군사관학교,주식회사 라일락
1888,안전띠 등 92종,제9181부대,뮤 커뮤니케이션
1890,작전용 방탄복 등 16종 구매,육군 제1군단,소망상사
1892,실버클립 등 374종 구매,제2002부대,성영
1893,DLP CUBE LAMP 등 2종 구매 설치,제8385부대,동방실업
1895,사물함 등 3품목 구매,제3283부대,성현스토어
1899,할로겐램프 등 109품목 구매,제3283부대,더팜
1901,(조달)3훈비 절단석 등 66품목(16-4-256) 구매,제3훈련비행단,주식회사 나누리
1905,메모리카드 등 12종 구매,제8385부대,윤영컴스
1908,DVD(우는남자 등 123종) 구매,제8385부대,가나안상사
1909,사이드 반복 등 26종,해군제2수리창,인화정공
1912,뮤테란 캅셀 등 208종,제9181부대,티엠이바이오 주식회사
1914,사이드 반복 등 26종,해군제2수리창,인화정공
1917,4/4분기 사무용도품 구매,제7001부대,백산
1925,SDSL 구매,국군재정관리단,N.P교역
1926,하드랙 케이스 등 19종,해군작전사령부,우진통상
1928,스미스 머신 등 13종 구매(연평도),연평부대,케이에스유통
1929,수정펜 등 24종,해군본부,현대상사
1936,16-243 배개 등 2종,공군사관학교,예림플러스
1938,압력계 등 7종 구매,해군제3함대사령부,(유)목포신도digitalOA
1939,가위 등 24종,해군본부,현대상사
1941,군수처 소화기 28대 구매,제2632부대,드림
1942,프러스펜 등 35종,해군본부,우진통상
1949,레이저 조각기 1종,해군군수사령부,상원씨앤피
1952,"팔꿈치, 무릎보호대 구매",제7보병사단,흥남건재
1979,물용안전변 등 17종 구매,제7001부대,주식회사 권민
1982,양손가위 등 294종,해군작전사령부,주식회사 권민
1983,네비게이션 등 2종,해군작전사령부,케이-부영
1985,(조달)3훈비 집초기 1품목(16-4-258) 구매,제3훈련비행단,주식회사 권민
2013,철직자 등 189종,제5738부대,드림오피스
2016,나일론비 등 206종,제5738부대,포항케이피엘(KPL)
2017,MT표준 시험편 JIS-A1 SET(직성형)등 4종,제5738부대,경도양행(주)
2022,특전사 특전헬멧용위장포 등 2항목 구매(물자),육군군수사령부,아폴론주식회사
2023,고속상황전파체계 서버 추가 구매,제2작전사령부,주식회사 에이번
2028,국가기능공 시험재료 131종 구매,육군 제1군단,동양사
2029,방화셔터 등 36종 5063점,해군제2수리창,금호전기조명(주)
2031,방화셔터 등 36종 5063점,해군제2수리창,금호전기조명(주)
2044,사철둥근양장 제작구매,국방출판지원단,대전인재사
2046,디지털 도어락 등 69종,제5738부대,일월종합상사
2049,무관통신망 운용품비 구매계약,국방정보본부,아너스솔루션주식회사
2052,방탄복 등 8종 구매,연평부대,더원상사
2061,코팅필름 등 380종 구매,제8385부대,금성종합상사
2064,RFID 자동움 알루미늄 body 등 11품목 구매,제9691부대,주식회사 건인티엔에스
2065,"전극,용접용 등 6종",해군군수사령부,세현종합상사
2073,유.무선도청 탐지체계 구매설치,국군재정관리단,주식회사 엠에스텍
2074,리노에바스텔 정 등 157품목,제9196부대,바른약품 주식회사
2089,소방장화 1항목 구매(물자),육군군수사령부,에스제이(SJ)
2094,16-월동자재(염화칼슘)구매,합동군사대학교,건양체육산업
2097,레이저포인트 등 246종 구매,제3170부대,디엠통상
2098,서치라이트 등 57종 구매,제3170부대,진용산업
2106,방한모자 등 11종,제9181부대,주식회사 나눔과행복
2107,푸쉬로드 등 43종,해군제2수리창,동진상사
2109,헬스복 등 4종 구매,제9911부대,경기종합상사
2110,베개 등 11종 구매,제9911부대,무한씨엔씨
2112,실리카겔제습제 등 488종,해군군수사령부,한성
2114,종이박스 등 27종,해군군수사령부,해듬
2118,시헙용 아답터 및 S/W 개발,제20전투비행단,티피에스코리아 주식회사
2121,대테러복 등 8종 구매,국군화생방방호사령부,알티하이텍
2125,하키부 등 7개부서 운동용품 구매(하키공 등 17종),국군체육부대,백산
2128,"간격유지기,봉합식 1종",해군군수사령부,호승기계
2132,블랙박스 등 2종,해군군수사령부,주식회사 우영물산
2134,바둑판세트 등 294종 구매(연평도),연평부대,인터스틸 주식회사
2135,사이드미러 등 94종,제9181부대,기호종합상사
2136,알루미늄팜 등 5종 구매,해군제3함대사령부,미래종합상사
2139,타벡스 겔 등 94종(연평도),연평부대,JD Pharm
2141,발사관명판 등 26종,해군군수사령부,유진상사
2142,스틸 그레이팅 1종,해군군수사령부,백야테크
2143,청수 고압자바라 호스 등 2종 구매,제9911부대,예원
2146,마사토 등 35종,제9227부대,아윤상사
2147,물자동원함 등 57종,제9227부대,퍼스트컴퍼니
2151,패딩점퍼 구매,국방부근무지원단,주식회사 나루지엠에스
2157,체조부 마루운동매트 설치납품,국군체육부대,주식회사 이레씨앤피
2160,플로터 구매,국방부계룡대근무지원단,케이씨디지털(주)
2161,플라스틱 제본링 등 33종,해군본부,(주)에스티에스 충남지사
2162,알칼리도 표준완충용액 등 16종 구매,제7001부대,(주)원진
2165,충전식 앰프 1대 구매,제7001부대,참조은
2166,스텐국자 등 22품목,제9691부대,동명상사
2170,대형 컷터 등 63종,해군본부,현대상사
2171,컷터(대) 등 476종,제7001부대,유로산업
2172,디지털테스트 등 5종 구매,제7001부대,한성
2176,소프트 바인더크립 등 86품목,제9691부대,주식회사 성진이엔디
2178,침목 등 4종 구매,제9911부대,정진상사
2179,탐조등 등 60종,제9181부대,경기종합상사
2183,해군 동잠바 깃털 1종,해군군수사령부,주식회사 나루지엠에스
2190,16-공-디지털 공기자료 시험세트 1EA 구매,국군재정관리단,주식회사 엔미디어솔루션
2199,"잭, 유압식 등 4항목 구매(물자)",육군군수사령부,주식회사 이노씨앤정보통신
